form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00365536,VTDKNAGR2K9,,,ORG,1M Properties LLC,,,,,,1 M St SE,6Th Fl,Washington,DC,200035125,,,2023-01-31,365.00,0.00,Room Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGP8N3,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-03,174.57,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPK69,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-09,1792.00,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ889,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-17,1634.69,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQHG1,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-23,1524.52,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR2P3,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-30,2049.96,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGR2Q1,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-01-31,1020.89,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQM5,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2023-01-26,38.12,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQQN3,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2023-01-26,263.26,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGPHW7,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-03,34.96,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,VTDKNAGQ2D5,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-01-09,206.16,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
