form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00303024,87074603,,,COM,Macy Hill for Fort Worth,,,,,,PO BOX 471121,,Fort Worth,TX,76147,,,2023-03-07,500.00,0.00,"Macy Hill, City Council 7th TX",011,,,,,,,,,,,,,,,,,,,"Macy Hill, City Council 7th TX"
SB29,C00303024,87090539,,,COM,George Murrell Smith for House,,,,,,P.O. Box 580,,Sumter,SC,29151,,,2023-03-14,1000.00,0.00,"George Smith, STATE HOUSE 67th SC",011,,,,Smith,George,,SC Rep.,Jr.,,,,,,,,,,,"George Smith, STATE HOUSE 67th SC"
SB29,C00303024,87103855,,,ORG,Republican Governors Association,,,,,,1747 Pennsylvania Ave. NW,Suite 250,Washington,DC,20006,,,2023-03-21,100000.00,0.00,,003,,,,,,,,,,,,,,,,,,,
SB29,C00303024,87103863,,,ORG,DEMOCRATIC GOVERNORS ASSOCIATION,,,,,,Noam Lee,"1225 Eye Street, Suite 1100",Washington,DC,20005,,,2023-03-21,100000.00,0.00,,003,,,,,,,,,,,,,,,,,,,
SB29,C00303024,87103874,,,ORG,Republican State Leadership Committee,,,,,,"1201 F Street, NW",Suite 675,Washington,DC,20004,,,2023-03-21,50000.00,0.00,,003,,,,,,,,,,,,,,,,,,,
SB29,C00303024,87103876,,,ORG,Democratic Lieutenant Governors Association,,,,,,1090 Vermont Ave NW,Suite 750,Washington,DC,20005,,,2023-03-21,50000.00,0.00,,003,,,,,,,,,,,,,,,,,,,
SB29,C00303024,87194101,,,COM,Citizens for Bill Ferguson,,,,,,c/o Martin-Lauer Associates,"1215 E Fort Ave, Suite 106",Baltimore,MD,21230,,,2023-03-01,-1000.00,0.00,Void 9/13/22 Contribution,011,,,,Ferguson,William,,MD Sen.,IV,,,,,,,,,,,Void 9/13/22 Contribution
SB29,C00303024,87194102,,,COM,Linda Stewart Campaign,,,,,,P.O. Box 5461,,Tallahassee,FL,32314,,,2023-03-01,-500.00,0.00,Void 9/13/22 Contribution,011,,,,Stewart,Linda,,FL Sen.,,,,,,,,,,,,Void 9/13/22 Contribution
SB29,C00303024,87194103,,,COM,Paul Renner Campaign,,,,,,"70 Riverview Band S., #713",,Palm Coast,FL,32137,,,2023-03-01,-1000.00,0.00,Void 9/13/22 Contribution,011,,,,Renner,Paul,,FL Rep.,,,,,,,,,,,,Void 9/13/22 Contribution
SB29,C00303024,87194104,,,COM,Lauren Book Campaign,,,,,,1427 Piedmont Drive East,Suite 2,Tallahassee,FL,32308,,,2023-03-01,-500.00,0.00,Void 9/13/22 Contribution,011,,,,Book,Lauren,,FL Sen.,,,,,,,,,,,,Void 9/13/22 Contribution
SB29,C00303024,87194105,,,COM,Kathleen Passidomo Campaign,,,,,,2200 Southwinds Drive,,Naples,FL,34102,,,2023-03-01,-500.00,0.00,Void 9/13/22 Contribution,011,,,,Passidomo,Kathleen,,FL Sen.,,,,,,,,,,,,Void 9/13/22 Contribution
