form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00454074,B-3014172,,,ORG,Washington Intelligence Bureau,,,,,,4128 Pepsi Place,,Chantilly,VA,201511501,,,2023-03-30,740.92,,"Caging and Escrow, Shipping",003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014173,,,ORG,"Fulfillment Solutions, Inc",,,,,,44970 Falcon Place,Suite 400,Sterling,VA,20166,,,2023-03-31,4994.28,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2982559,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-05,4.53,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3002777,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-28,3.94,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014170,,,ORG,MDI Imaging & Mailing,,,,,,21955 Cascades Parkway,,Dulles,VA,201669211,,,2023-03-30,5430.68,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997654,,,ORG,"The KAL Group, Inc",,,,,,9460 Tegner Road,,Hilmar,CA,95324,,,2023-03-07,7037.94,,Bookkeeping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997671,,,ORG,Wells Fargo Bank,,,,,,6930 Skyway,,Paradise,CA,959693908,,,2023-03-06,15.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2997679,,,ORG,FLS Connect,,,,,,7300 Hudson Boulevard N,Suite 270,Saint Paul,MN,551287143,,,2023-03-07,16265.00,,Fundraising calling and mailing services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2987585,,,ORG,WinRed Technical Services,,,,,,1776 Wilson Boulevard,Suite 530,Arlington,VA,22219,,,2023-03-06,13.01,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-2982555,,,ORG,"ADP, Inc.",,,,,,55 South Lake Avenue,,Pasadena,CA,91101,,,2023-03-10,79.59,,Payroll Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00454074,B-3014167,,,ORG,"Fulfillment Solutions, Inc",,,,,,44970 Falcon Place,Suite 400,Sterling,VA,20166,,,2023-03-27,611.38,,Postage and Delivery,003,,,,,,,,,,,,,,,,,,,
