form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00686980,SB22.4323,,,PTY,NRCC,,,,,,320 FIRST STREET SE,.,WASHINGTON,DC,20003,,,2023-03-31,51120.00,,TRANSER OF NET PROCEEDS,,C00075820,,,,,,,,,,,,,,,,,,
SB22,C00686980,SB22.4312,,,PAC,"ON WISCONSIN PAC, INC.",,,,,,PO BOX 1387,,JANESVILLE,WI,53547,,,2023-03-31,1800.00,,TRANSFER OF NET PROCEEDS,,C00697326,,,,,,,,,,,,,,,,,,
SB22,C00686980,SB22.4317,,,PAC,"ON WISCONSIN PAC, INC.",,,,,,PO BOX 1387,,JANESVILLE,WI,53547,,,2023-03-31,9000.00,,TRANSFER OF NET PROCEEDS,,C00697326,,,,,,,,,,,,,,,,,,
SB22,C00686980,SB22.4313,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,P2024,,2023-03-31,6600.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4314,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,P2024,,2023-03-31,8350.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4316,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,P2024,,2023-03-31,5940.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4349,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,G2024,,2023-03-31,5940.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4350,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,G2024,,2023-03-31,6600.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4351,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,G2024,,2023-03-31,6600.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4352,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,P2024,,2023-03-31,5000.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
SB22,C00686980,SB22.4353,,,CCM,"Steil for Wisconsin, Inc.",,,,,,1818 MILTON AVE,# 1448,JANESVILLE,WI,535451129,G2024,,2023-03-31,5000.00,,TRANSFER OF NET PROCEEDS,,C00677286,,,,,,,,H,WI,01,,,,,,,,
