form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00487470,SB21B.4475,,,ORG,"Adelaroche Designs, LLC",,,,,,3 Tingey Square SE,#1007,Washington,DC,20003,,,2023-03-07,2400.00,,marketing supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4492,,,ORG,AdVictoriam,,,,,,525 East Market St.,,Leesburgh,VA,20176,,,2023-03-06,138.75,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4493,,,ORG,AdVictoriam,,,,,,525 East Market St.,,Leesburgh,VA,20176,,,2023-03-13,3.75,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4472,,,ORG,Authorize.NET,,,,,,808 East Utah Valley Dr.,,American Fork,UT,84003,,,2023-03-02,84.95,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4477,,,ORG,"Catamaran Consulting, LLC",,,,,,1920 HILLHURST AVE.,#1159,Los Angeles,CA,90027,,,2023-03-13,52000.00,,marketing supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4518,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-03-15,7689.46,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4520,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-03-15,-7323.29,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4478,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-03-31,35000.00,,advance for future expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4519,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-03-31,18428.77,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4521,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-03-31,18428.77,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4479,,,ORG,"FatLab, LLC",,,,,,1732 11ST AVE,#24150,NEW YORK,NY,10128,,,2023-03-31,390.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4481,,,ORG,"HATCH LAW GROUP, PC",,,,,,22 EAST 100 SOUTH STE. 400,,Salt Lake City,UT,84111,,,2023-03-07,12760.90,,legal fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4499,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-03-06,5.00,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4500,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-03-06,8.08,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4501,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-03-13,0.10,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4502,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-03-20,21.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4503,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-03-27,7.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4504,,,ORG,PopActa,,,,,,PO Box 7865,,Loveland,CO,80537,,,2023-03-06,32.40,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4505,,,ORG,PopActa,,,,,,PO Box 7865,,Loveland,CO,80537,,,2023-03-13,25.20,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4508,,,ORG,SendTeam,,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2023-03-06,243.00,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4507,,,ORG,SendTeam,,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2023-03-27,22.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4490,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-03,293.06,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4485,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-10,24.76,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4486,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-17,23.32,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4487,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-22,2.06,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4488,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-24,0.74,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4489,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-03-31,2.76,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.4473,,,ORG,Truist Merchant Services,,,,,,PO Box 2394,,Omaha,NE,68103,,,2023-03-10,54.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
