form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500026852,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-04-19,12654.48,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026825,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-04-12,736.09,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026924,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-13,468.37,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026925,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-14,6.14,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026926,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-17,23.53,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026927,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-18,8.59,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026928,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-19,10.00,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026929,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-20,11.25,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026930,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-21,7.03,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026931,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-24,12.68,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026932,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-25,5.50,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026933,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-26,6.65,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026934,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-27,33.54,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026935,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-28,18.35,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026936,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-04-28,33.92,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
