form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00759365,SB21B-827081,,,ORG,Cloud Data Services,,,,,,1009 Whitney Ranch Dr,,Henderson,NV,89014,,,2023-01-03,221.33,221.33,Leads / Phone Lists,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853287,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-01-06,189.03,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853289,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-01-13,347.61,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853291,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-01-20,53.66,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853293,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-01-27,89.10,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853295,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-02-03,98.73,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853297,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-02-10,89.10,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853299,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-02-17,51.60,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-853301,,,ORG,Group Consultants Inc,,,,,,2601 Summers Street NW,Suite 210,Kennesaw,GA,30144,,,2023-03-10,38.70,957.53,Fundraising,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-827759,,,ORG,KEYSTONE MEDIA RESOURCES,,,,,,680 South Cache Street,Unit 100,Jackson,WY,83001,,,2023-02-08,1213.82,1213.82,Web Marketing,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-827087,,,ORG,Standard Data Services LLC,,,,,,513 Mill Ave SE,Suite 206,New Philadelphia,OH,44663,,,2023-01-03,202.88,202.88,Caging and Database Services,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00759365,SB21B-827089,,,ORG,Wired4Data,,,,,,55 Lake Havasu Ave South,F-677,Lake Havasu City,AZ,86403,,,2023-01-03,402.69,402.69,Phonebank IT/Tech Support,003,,,,,,,,,,,,,,,,,00000,,
