form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00063164,17322115,,,CCM,McConnell Senate Committee,,,,,,PO Box 1496,,Louisville,KY,40201,P2026,,2023-05-04,2500.00,0.00,,011,C00193342,McConnell Senate Committee,,McConnell,Mitch,,Sen.,,S,KY,,,,,,,,,
SB23,C00063164,17322116,,,PTY,DCCC,,,,,,"430 South Capitol Street, SE",2Nd Floor,Washington,DC,200034024,,,2023-05-04,15000.00,0.00,,011,C00000935,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322117,,,PTY,DSCC,,,,,,120 Maryland Ave NE,,Washington,DC,20002,,,2023-05-04,15000.00,0.00,,011,C00042366,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322118,,,PTY,NRCC,,,,,,320 First Street SE,,Washington,DC,20003,,,2023-05-04,15000.00,0.00,,011,C00075820,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322119,,,PTY,NRSC,,,,,,425 2Nd Street NE,,Washington,DC,20002,,,2023-05-04,15000.00,0.00,,011,C00027466,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322120,,,PAC,Congressional Black Caucus PAC,,,,,,PO Box 75357,,Washington,DC,20013,,,2023-05-04,5000.00,0.00,,011,C00147512,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322121,,,PAC,CHC BOLD PAC,,,,,,PO Box 75357,,Washington,DC,20013,,,2023-05-04,5000.00,0.00,,011,C00365536,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322122,,,PAC,REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC,,,,,,610 S. BOULEVARD,,TAMPA,FL,33606,,,2023-05-04,5000.00,0.00,,011,C00433060,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322123,,,PAC,Republican Mainstreet Partnership PAC,,,,,,410 First Street SE,Suite 200,Washington,DC,20003,,,2023-05-04,5000.00,0.00,,011,C00165159,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322124,,,PAC,Blue Dog Political Action Committee,,,,,,PO Box 83142,,Gaithersburg,MD,20883,,,2023-05-04,5000.00,0.00,,011,C00305318,,,,,,,,,,,,,,,,,,
SB23,C00063164,17322125,,,CCM,Hern For Congress,,,,,,8630 S Peoria Avenue,,Tulsa,OK,74132,P2024,,2023-05-04,5000.00,0.00,,011,C00636092,Hern For Congress,H8OK01157,Hern,Kevin,,Rep.,,H,OK,01,,,,,,,,
SB23,C00063164,17322126,,,CCM,Virginia Foxx For Congress,,,,,,PO Box 2676,,Boone,NC,28607,P2024,,2023-05-04,2500.00,0.00,,011,C00386748,Virginia Foxx For Congress,H4NC05146,Foxx,Virginia,,Rep.,,H,NC,05,,,,,,,,
SB23,C00063164,17322127,,,CCM,Emmer For Congress,,,,,,PO Box 998,,Anoka,MN,55303,P2024,,2023-05-04,2500.00,0.00,,011,C00545749,Emmer For Congress,H4MN06087,Emmer,Tom,,Rep.,Jr.,H,MN,06,,,,,,,,
SB23,C00063164,17322128,,,CCM,"John James For Congress, Inc.",,,,,,P.O. Box 628,,St. Clair Shores,MI,48080,P2024,,2023-05-04,1000.00,0.00,,011,C00803502,"John James For Congress, Inc.",H2MI10150,James,John,,Rep.,,H,MI,10,,,,,,,,
SB23,C00063164,17322129,,,CCM,Robin Kelly For Congress,,,,,,P.O. Box 3441,,Chicago,IL,60654,P2024,,2023-05-04,1000.00,0.00,,011,C00539866,Robin Kelly For Congress,H2IL02172,Kelly,Robin,,Rep.,,H,IL,02,,,,,,,,
SB23,C00063164,17322130,,,CCM,Beatty For Congress,,,,,,PO Box 172,,Columbus,OH,43216,P2024,,2023-05-04,1000.00,0.00,,011,C00507368,Beatty For Congress,,Beatty,Joyce,,Rep.,,H,OH,03,,,,,,,,
SB23,C00063164,17372656,,,PAC,Equality PAC,,,,,,PO Box 15337,,Washington,DC,20003,,,2023-05-04,5000.00,0.00,,011,C00550970,,,,,,,,,,,,,,,,,,
SB23,C00063164,17372657,,,CCM,Case For Congress,,,,,,"1253 S. Beretania St., #8888",,Honolulu,HI,96814,P2024,,2023-05-04,1000.00,0.00,,011,C00680918,Case For Congress,H2HI02128,Case,Edward,,Rep.,,H,HI,01,,,,,,,,
