form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00647966,SB21B.5428,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2023-06-30,438.47,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5446,,,ORG,Ben Hillman & Company,,,,,,35 Salisbury Road,,Sheffield,MA,01257,,,2023-04-11,1130.00,,Printing Design/Video Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5455,,,ORG,Ben Hillman & Company,,,,,,35 Salisbury Road,,Sheffield,MA,01257,,,2023-05-03,1210.00,,Printing Design/Video Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5443,,,ORG,DRC,,,,,,7627 S. Grove Rd,,Franklinville,NY,14737,,,2023-03-16,300.00,,Ad - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5452,,,IND,,Guernsey,Sherwood,,,,69 East Housatonic St,,Pittsfield,MA,01201,,,2023-05-03,1728.68,,Lawn Signs - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5452.0,SB21B.5452,SB21B,ORG,The Blue Deal LLC,,,,,,2810 Dorr Ave,,Fairfax,VA,22031,,,2023-05-03,1728.68,,Lawn Signs,,,,,,,,,,,,,,,,,,,X,
SB21B,C00647966,SB21B.5441,,,ORG,"New England Newspapers, Inc.",,,,,,75 South Church Street,,Pittsfield,MA,01201,,,2023-03-09,228.00,,Advertising - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5430,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2023-01-18,255.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5434,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2023-02-23,277.50,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5460,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2023-05-24,315.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5464,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2023-06-23,350.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5431,,,ORG,US Postmaster,,,,,,212 Fenn St,,Pittsfield,MA,01201,,,2023-01-19,1000.00,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5439,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2023-03-23,363.30,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5448,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2023-04-11,190.39,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5463,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2023-06-16,871.38,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5449,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2023-04-12,323.81,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5450,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2023-04-12,228.40,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5456,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2023-05-15,165.51,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5457,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2023-05-18,160.34,,Printing - Not express advocacy,,,,,,,,,,,,,,,,,,,,
