form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831545,500336189,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-06-30,395.00,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336725,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-06-13,21.20,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336726,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-06-13,368.88,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336741,,,ORG,"Delta Air Lines, Inc.",,,,,,1030 Delta Blvd,,Hapeville,GA,303541989,P2023,,2023-06-22,1199.80,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336742,,,ORG,"Delta Air Lines, Inc.",,,,,,1030 Delta Blvd,,Hapeville,GA,303541989,P2023,,2023-06-22,539.80,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336738,,,ORG,Talay Thai,,,,,,406 1St St SE,,Washington,DC,200031869,,,2023-06-21,249.95,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336728,,,ORG,Uber Eats,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-16,81.87,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336730,,,ORG,Uber Eats,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-20,144.24,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336729,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-20,9.71,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336731,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-20,9.70,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336733,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-20,13.91,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336734,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-21,9.90,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336735,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-21,9.92,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336736,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-21,22.08,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336737,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-21,19.08,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336739,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-21,32.99,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336740,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-22,23.90,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336744,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-23,16.91,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336745,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-26,46.97,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336746,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-26,17.98,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336747,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-26,15.91,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500336748,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-06-26,6.68,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
