form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00779595,SB29001,,,ORG,Texans For Opportunity & Prosperity PAC,,,,,,138 Conant Street,,Beverly,MA,01915,,,2023-05-05,25000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29003,,,ORG,Friends of Glen Sturtevant,,,,,,P.O. Box 2535,,Midlothian,VA,23113,,,2023-05-23,25000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29002,,,ORG,Tara Durant for Delegate,,,,,,P.O. Box 5055,,Fredericksburg,VA,22403,,,2023-05-23,25000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29004,,,ORG,"Coefficient Group, LLC",,,,,,1881 Main St. # 305,,Kansas City,MO,64108,,,2023-05-25,11000.00,,Non-federal Polling; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29005,,,ORG,Buddy Fowler for Delegate,,,,,,13029 Old Ridge Road,,Beaverdam,VA,23015,,,2023-06-14,10000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29006,,,ORG,Friends of Lee Peters III,,,,,,P.O. Box 5342,,Fredericksburg,VA,22403,,,2023-06-14,10000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29007,,,ORG,Stirrup for Delegate 21,,,,,,P.O. Box 280,,Haymarket,VA,20168,,,2023-06-14,10000.00,,Non-federal Contribution,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29008,,,ORG,Percipient Strategies LLC,,,,,,P.O. Box 71613,,Washington,DC,20024,,,2023-06-20,2700.00,,Non-federal Research; In-kinded to House Republican Campaign Committee,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29009,,,ORG,Percipient Strategies LLC,,,,,,P.O. Box 71613,,Washington,DC,20024,,,2023-06-20,6333.33,,Non-federal Research; In-kinded to Virginia Senate Republican Caucus,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29010,,,ORG,Percipient Strategies LLC,,,,,,P.O. Box 71613,,Washington,DC,20024,,,2023-06-20,9033.33,,Non-federal Research; In-kinded to Spirit of Virginia,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29011,,,ORG,Percipient Strategies LLC,,,,,,P.O. Box 71613,,Washington,DC,20024,,,2023-06-20,9033.34,,Non-federal Research,,,,,,,,,,,,,  ,,,,,,,
