form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770297,SB21B.4617,,,ORG,Anedot,,,,,,1920 McKinney Ave,7th Fl.,Dallas,TX,75201,,,2023-03-31,400.60,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4620,,,ORG,Brennan's,,,,,,417 Royal St,,New Orleans,LA,70130,,,2023-03-20,1082.74,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4623,,,PAC,Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,,,2023-01-09,1098.15,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4624,,,PAC,Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,,,2023-02-09,1475.30,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4625,,,PAC,Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,,,2023-03-31,530.00,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4626,,,PAC,Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,,,2023-03-31,87.05,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4631,,,ORG,Discover Card,,,,,,PO Box 6103,,Carol Stream,IL,60197,,,2023-05-12,3438.66,,Credit Card Payment: See Itemization Below,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4631.1,SB21B.4631,SB21B,CCM,Shoto,,,,,,1100 15th St NW,,Washington,DC,20005,,,2023-05-12,1407.12,,Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00770297,SB21B.4631.2,SB21B.4631,SB21B,PAC,Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,,,2023-05-12,1958.45,,Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00770297,SB21B.4636,,,ORG,Huckaby Davis Lisker,,,,,,228 S. Wahsington St.,#115,Alexandria,VA,22314,,,2023-04-27,1427.79,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4639,,,ORG,Ilili,,,,,,100 District Square SW,,Washington,DC,20024,,,2023-03-09,257.40,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4643,,,ORG,"Love, Makoto",,,,,,200 Massachusetts Ave NW,Ste. 150,Washington,DC,20001,,,2023-05-31,738.43,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4651,,,ORG,Salamander Resort,,,,,,500 N Pendleton St.,,Middleburg,VA,20117,,,2023-06-22,366.74,,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00770297,SB21B.4654,,,ORG,Siptequilia.com,,,,,,346 NW Alice Ave,,Stuart,FL,34994,,,2023-02-17,483.38,,Catering,,,,,,,,,,,,,,,,,,,,
