form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00299396,SB21B.6252,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,02238,,,2023-06-30,1028.98,,Credit Card Processing Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6282,,,IND,,Coscia,Michael,,,,P.O. Box 15084,,Washington,DC,20003,,,2023-06-09,1417.22,,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6283,,,ORG,Little Acre,,,,,,2004 17th Street NW,,Washington,DC,20009,,,2023-06-09,876.80,,Flowers for Fundraising Event,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6274,,,ORG,Pat Santangelo & Associates,,,,,,63 East 9th Street,Suite 6K,New York,NY,10003,,,2023-05-08,500.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6275,,,ORG,Pat Santangelo & Associates,,,,,,63 East 9th Street,Suite 6K,New York,NY,10003,,,2023-05-20,250.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6277,,,ORG,Pat Santangelo & Associates,,,,,,63 East 9th Street,Suite 6K,New York,NY,10003,,,2023-05-31,250.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6278,,,ORG,Pat Santangelo & Associates,,,,,,63 East 9th Street,Suite 6K,New York,NY,10003,,,2023-05-31,525.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6273,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-05-01,4187.50,,Administrative Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6279,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-06-07,4212.50,,Administrative Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6271,,,ORG,Yotel Washington DC,,,,,,415 New Jersey Ave NW,,Washington,DC,20001,,,2023-04-06,2500.00,,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00299396,SB21B.6280,,,ORG,Yotel Washington DC,,,,,,415 New Jersey Ave NW,,Washington,DC,20001,,,2023-06-07,15867.84,,Catering,,,,,,,,,,,,,,,,,,,,
