form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.40984,,,ORG,"BOOKING.COM USA, INC.",,,,,,4147 EASTERN AVE SE,,GRAND RAPIDS,MI,49508,,,2023-02-06,851.15,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.40991,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2023-02-23,100.94,,SOFTWARE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.40992,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2023-03-23,100.94,,SOFTWARE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38806,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2023-04-24,100.94,,SOFTWARE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38807,,,ORG,"CONSTANT CONTACT, INC.",,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2023-05-23,100.94,,SOFTWARE SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.40994,,,ORG,COUNCIL FOR NATIONAL POLICY,,,,,,444 NORTH CAPITOL STREET SW,SUITE 830,WASHINGTON,DC,20001,,,2023-01-25,800.00,,EVENT REGISTRATION FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41210,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W.",SUITE 900,WASHINGTON,DC,20006,,,2023-01-06,3353.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41212,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W.",SUITE 900,WASHINGTON,DC,20006,,,2023-02-13,488.40,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41214,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W.",SUITE 900,WASHINGTON,DC,20006,,,2023-02-13,2600.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41216,,,ORG,DICKINSON WRIGHT PLLC,,,,,,"1825 EYE STREET, N.W.",SUITE 900,WASHINGTON,DC,20006,,,2023-02-13,442.75,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41005,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-03-08,30.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
