form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.30396,,,ORG,AAA Carolinas,,,,,,AAA Carolinas Headquarters,6600 AAA Drive,Charlotte,NC,28212,,,2023-05-15,74.00,,DC trip travel insurance,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30399,,,ORG,Autobell Car wash,,,,,,5606 Park Rd, ,Charlotte,NC,28210,,,2023-05-16,37.53,,car wash for DC trip,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30372,,,ORG,Blaze Media LLC,,,,,,260 W 27th St.,Apt 8,New York,NY,10001,,,2023-04-03,99.00,,Crowders Mug Club,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30329,,,ORG,BrandYourself,,,,,,336 West 37th St,Suite 1200,New York,NY,10018,,,2023-02-06,36.97,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30389,,,ORG,BrandYourself,,,,,,336 West 37th St,Suite 1200,New York,NY,10018,,,2023-05-04,36.97,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30317,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-01-13,131.50,,payroll processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30362,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-03-24,56.15,,payroll processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30363,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-03-24,893.25,,payroll taxes,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30368,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-03-31,123.85,,payroll processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30390,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-05-05,58.25,,payroll service fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30391,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-05-05,1117.07,,payroll taxes,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30431,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-06-20,58.25,,payroll processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30432,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-06-20,1099.45,,payroll taxes,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30443,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2023-06-30,58.50,,payroll processing fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30405,,,ORG,DC Metro WMATA,,,,,,"300 7th Street, SW",,Washington,DC,20024,,,2023-05-18,15.00,,DC metro fare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30440,,,ORG,DeleteMe Abine Inc,,,,,,50 Franklin St,Floor 3,Boston,MA,02110,,,2023-06-26,229.00,,online privacy services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30310,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-01-03,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30326,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-02-02,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30349,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-03-03,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30371,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-04-03,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30387,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-05-02,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30421,,,ORG,DigitalOcean,,,,,,101 6th Avenue,,New York,NY,10013,,,2023-06-02,61.91,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30316,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-01-11,33.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30319,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-01-17,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30334,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-02-13,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30336,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-02-15,35.97,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30342,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-02-27,16.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30343,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-02-27,136.93,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30350,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-03-06,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30352,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-03-07,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30357,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-03-08,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30373,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-04-06,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30383,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2023-05-01,19.99,,domain hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30427,,,ORG,ESET,,,,,,610 West Ash Street,Suite 1700,San Diego,CO,92101,,,2023-06-09,107.22,,virus protection software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30311,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2023-01-03,1735.19,,advertising,004,,,,,,,,,,,,,,,,,,,
