form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831123,SB21B.16781,,,ORG,HENRYALAN,,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-08-14,1500.00,,COMPLIANCE AND ACCOUNTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16778,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-07-13,21950.54,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16783,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-07-27,15000.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16784,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-07-27,20000.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.25726,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-07-27,19655.48,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16782,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-08-23,12661.88,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16785,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-09-05,7500.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16786,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-09-05,20000.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.16787,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-09-05,5000.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.25730,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-09-30,10000.00,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.25731,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2023-09-30,25493.08,,DIGITAL FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.33251,,,COM,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-09-30,8552.10,,Credit Card Fees,,C00694323,,,,,,,,,,,,,,,,,,
