form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00544650,SB21B.I22923,,,ORG,12 BONES,,,,,,5 FOUNDRY ST.,,ASHEVILLE,NC,28801,,,2023-07-24,2238.84,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22924,,,ORG,ANEDOT,,,,,,PO BOX 84314,SUITE 2105,BATON ROUGE,LA,708841821,,,2023-07-31,681.15,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22925,,,ORG,ANEDOT,,,,,,PO BOX 84314,SUITE 2105,BATON ROUGE,LA,708841821,,,2023-08-31,701.78,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22926,,,ORG,ANEDOT,,,,,,PO BOX 84314,SUITE 2105,BATON ROUGE,LA,708841821,,,2023-09-30,1971.38,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22927,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-07-25,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22928,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-08-25,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22929,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-09-26,250.00,,SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22930,,,ORG,DUQUESNE CLUB,,,,,,PO BOX  387,,PITTSBURGH,PA,15230,,,2023-07-31,4764.61,,EVENT CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22931,,,ORG,HUCKABY DAVIS LISKER,,,,,,228 S WASHINGTON STREET STE 115,,ALEXANDRIA,VA,22314,,,2023-07-24,2422.12,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22935,,,ORG,OORBEEK MEMMOTT GROUP,,,,,,3905 N. DUMBARTON ST.,,ARLINGTON,VA,22207,,,2023-07-24,58946.21,,FUNDRAISING CONSULTING/EVENT CATERING/SITE RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22936,,,ORG,OORBEEK MEMMOTT GROUP,,,,,,3905 N. DUMBARTON ST.,,ARLINGTON,VA,22207,,,2023-07-31,69651.41,,FUNDRAISING CONSULTING/EVENT CATERING/SITE RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22937,,,ORG,OORBEEK MEMMOTT GROUP,,,,,,3905 N. DUMBARTON ST.,,ARLINGTON,VA,22207,,,2023-08-30,34455.80,,FUNDRAISING CONSULTING/EVENT CATERING/SITE RENTAL/TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22938,,,ORG,SCR & ASSOCIATES LLC,,,,,,100 TRADECENTER,STE. G-700,WOBURN,MA,018011851,,,2023-08-30,1160.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22939,,,ORG,THE CW GROUP,,,,,,1152 MAE ST.,STE. 129,HUMMELSTOWN,PA,17036,,,2023-07-24,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00544650,SB21B.I22940,,,ORG,THE CW GROUP,,,,,,1152 MAE ST.,STE. 129,HUMMELSTOWN,PA,17036,,,2023-08-30,2500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
