form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00439646,EB5263,,,ORG,Crummitt & Associates Inc.,,,,,,249 E. Ocean Blvd. #670,,Long Beach,CA,90802,,,2023-08-22,994.50,,Treasurer Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5019,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-05,0.95,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5020,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-06,13.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5023,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-12,2.88,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5027,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-18,1.23,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5030,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-20,4.72,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5029,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-21,7.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5037,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-24,1.63,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5039,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-26,9.20,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5067,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-27,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5109,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-28,1.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5092,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-07-31,27.59,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5110,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-01,35.83,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5111,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-02,43.90,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5127,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-03,5.47,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5128,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-04,39.99,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00439646,EB5134,,,ORG,E-Fundraising Connections,,,,,,2831 G Street Suite 200,,Sacramento,CA,95816,,,2023-08-07,19.96,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
