form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00203497,SB21B.25981,,,ORG,Atchley & Associates LLP,,,,,,1005 La Posada Dr.,,Austin,TX,78752,,,2023-12-01,1263.00,,ACCOUNTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25956,,,ORG,Guardian Public Strategies,,,,,,815-A Brazos Street,Suite 304,Austin,TX,78701,,,2023-09-01,9000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25957,,,ORG,Guardian Public Strategies,,,,,,815-A Brazos Street,Suite 304,Austin,TX,78701,,,2023-10-01,6000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25958,,,ORG,Guardian Public Strategies,,,,,,815-A Brazos Street,Suite 304,Austin,TX,78701,,,2023-12-01,6000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25959,,,ORG,Guardian Public Strategies,,,,,,815-A Brazos Street,Suite 304,Austin,TX,78701,,,2023-12-28,2885.25,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25952,,,ORG,Hillco Partners LLC,,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-07-01,8000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25954,,,ORG,Hillco Partners LLC,,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-08-01,8000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25961,,,ORG,"Mem & Associates, Inc.",,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-09-01,10000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25963,,,ORG,"Mem & Associates, Inc.",,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-10-01,10000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25964,,,ORG,"Mem & Associates, Inc.",,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-11-01,10000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25965,,,ORG,"Mem & Associates, Inc.",,,,,,823 Congress Avenue,Suite 900,Austin,TX,78701,,,2023-12-01,10000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00203497,SB21B.25960,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2023-09-01,525.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
