form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00833103,CDD-0000000000028226,,,ORG,Voters of Tomorrow Inc.,,,,,,10960 Wilshire Blvd ,,Los Angeles,CA,90024,,,2023-07-10,20000.00,,"Salaries, Payroll Taxes and Utilities",001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028227,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,366.62,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028228,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,423.55,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028229,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,796.28,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028230,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,1381.91,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028231,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,1934.69,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028232,,,ORG,Grassroots Analytics,,,,,,806 7th St NW,,Washington,DC,20001,,,2023-07-21,2674.79,,Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028236,,,ORG,Katz Compliance,,,,,,PO Box 33079 ,,Washington,DC,200330079,,,2023-09-01,1400.00,,Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028237,,,ORG,Katz Compliance,,,,,,PO Box 33079 ,,Washington,DC,200330079,,,2023-09-01,1400.00,,Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028242,,,ORG,Katz Compliance,,,,,,PO Box 33079 ,,Washington,DC,200330079,,,2023-11-29,4200.00,,Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00833103,CDD-0000000000028257,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-12-31,561.71,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
