form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00826719,SB21B.4349,,,ORG,COGENCY GLOBAL INC,,,,,,122 E. 42ND ST,18TH FLOOR,NEW YORK,NY,10168,,,2023-09-25,25.00,,FILING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4338,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-07-12,63.07,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4342,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-08-14,63.07,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4344,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-08-18,242.52,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4348,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-09-12,63.07,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4356,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-09-25,96.31,,OFFICE SUPPLIES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4361,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-10-12,63.07,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4375,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-11-13,95.40,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4388,,,ORG,INTUIT,,,,,,2632 MAINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-12-12,95.40,,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4333,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-07-06,472.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4343,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-08-16,862.15,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4359,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-10-05,3256.32,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4365,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-11-06,945.20,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4373,,,ORG,"ROCHA & COMPANY, PC",,,,,,9801 WASHINGTONIAN BLVD,SUITE 710,GAITHERSBURG,MD,20878,,,2023-11-13,1450.00,,ACCOUNTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4337,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-07-07,410.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4350,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-09-25,21937.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4358,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-10-05,2347.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4376,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-11-13,1527.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826719,SB21B.4387,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2023-12-11,1100.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
