form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.8079,,,ORG,American Hospital Association,,,,,,800 10th Street NW,Suite 800,Washington,DC,20001,,,2023-09-08,776.24,,"PAC - Event Site Fee, Food/Beverage",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7821,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-07-07,113.40,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7850,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-07-21,19.80,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7822,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-07-27,39.30,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8073,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-09-11,97.80,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8052,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-12-14,39.30,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8053,,,ORG,Anedot,,,,,,5555 Hilton Ave,,Baton Rouge,LA,70808,,,2023-12-31,58.80,,PAC - Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8239,,,ORG,Aviation Valet Parking,,,,,,6210 Wilkinson Blvd,,Charlotte,NC,28214,,,2023-10-10,115.00,,PAC Parking,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7849,,,ORG,Beltway Catering dba Bon Vivant Catering,,,,,,1251 Pine Hill Road,,McLean,VA,22101,,,2023-07-20,5625.33,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8069,,,ORG,Best Buy,,,,,,7601 Penn Ave South,,Richfield,MN,55423,,,2023-08-31,282.54,,PAC - Computer Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8169,,,ORG,Blue Bottle Coffee,,,,,,1046 Potomac St NW,,Washington,DC,20007,,,2023-11-30,14.47,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
