form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00749101,SB21B.11518,,,ORG,"1833 Group, LLC",,,,,,25W400 Maple Avenue,Suite 212,Naperville,IL,60540,,,2023-11-16,275.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11241,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-07-03,3.91,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11244,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-07-10,1.98,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11246,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-07-17,9.04,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11247,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-07-24,9.31,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11248,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-07-31,3.38,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11253,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-08-07,23.50,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11256,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-08-14,1.98,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11257,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-08-21,8.72,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11493,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-09-11,1.98,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11494,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-09-18,16.84,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11495,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-10-02,0.99,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11496,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-10-02,0.99,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11499,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-10-10,0.99,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11501,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-10-16,0.99,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11506,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-11-13,0.99,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11507,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2023-12-11,1.98,,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00749101,SB21B.11243,,,ORG,Bank of America,,,,,,"201 Pennsylvania Ave, SE",,Washington,DC,20003,,,2023-07-03,29.95,,Bank Fee,,,,,,,,,,,,,,,,,,,,
