form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00551812,B854280,,,CCM,Friends of Mike Lee Inc,,,,,,PO Box 1537,,Salt Lake City,UT,84110,O2028,Convention,2023-09-12,500.00,,Contribution,011,C00473827,,S0UT00165,Lee,Mike,,,,S,UT, ,,,,,,,,
SB23,C00551812,B854281,,,CCM,Young Kim for Congress,,,,,,PO Box 2186,,Fullerton,CA,92837,P2024,,2023-09-12,1500.00,,Contribution,011,C00665638,,H8CA39240,Kim,Young,,,,H,CA,40,,,,,,,,
SB23,C00551812,B856471,,,CCM,Andy Barr for Congress Inc.,,,,,,PO Box 2059,,Lexington,KY,40588,P2024,,2023-10-02,2500.00,,Contribution,011,C00467571,,H0KY06104,Barr,Andy,,,,H,KY,06,,,,,,,,
SB23,C00551812,B846108,,,CCM,JD Vance For Senate Inc.,,,,,,P.O. Box 6564,,Cincinnati,OH,45206,P2028,,2023-10-02,-2500.00,,Contribution,011,C00783142,,S2OH00436,Vance,JD,,,,S,OH, ,,,,,,,,Void check originally dated 5/4/23 
SB23,C00551812,B856866,,,CCM,JD Vance For Senate Inc.,,,,,,P.O. Box 6564,,Cincinnati,OH,45206,P2028,,2023-10-10,2500.00,,Contribution,011,C00783142,,S2OH00436,Vance,JD,,,,S,OH, ,,,,,,,,
SB23,C00551812,B856865,,,CCM,Team Hagerty,,,,,,PO Box 50430,,Nashville,TN,37205,P2026,,2023-10-10,5000.00,,Contribution,011,C00718627,,S0TN00169,Hagerty,Bill,,,,S,TN, ,,,,,,,,
SB23,C00551812,B857543,,,CCM,Ted Budd for Senate,,,,,,PO Box 97127,,Raleigh,NC,27624,P2028,,2023-10-17,2500.00,,Contribution,011,C00614776,,S2NC00505,Budd,Theodore (Ted) P.,,,,S,NC, ,,,,,,,,
SB23,C00551812,B857542,,,CCM,Thom Tillis Committee,,,,,,PO Box 97396,,Raleigh,NC,27624,P2026,,2023-10-17,5000.00,,Contribution,011,C00545772,,S4NC00162,Tillis,Thom,,,,S,NC, ,,,,,,,,
SB23,C00551812,B860284,,,CCM,Beatty for Congress,,,,,,222 East Town Street Suite 2W,,Columbus,OH,43215,P2024,,2023-11-16,2500.00,,Contribution,011,C00507368,,H2OH03125,Beatty,Joyce,,,,H,OH,03,,,,,,,,
SB23,C00551812,B860285,,,CCM,Latta for Congress,,,,,,P.O. Box 106,,Bowling Green,OH,43402,P2024,,2023-11-16,2500.00,,Contribution,011,C00438697,,H8OH05036,Latta,Bob,,,,H,OH,05,,,,,,,,
SB23,C00551812,B860286,,,CCM,Marsha for Senate,,,,,,PO Box 3750,,Nashville,TN,37024,P2024,,2023-11-16,5000.00,,Contribution,011,C00376939,,S8TN00337,Blackburn,Marsha,,,,S,TN, ,,,,,,,,
