form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00582841,SB21B.6727,,,ORG,ActBlue,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-12-28,592.50,,Service fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6728,,,ORG,Bin 14,,,,,,1314 Washington St,,Hoboken,NJ,07030,,,2023-10-02,98.65,,Lunch meeting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6729,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-07-11,46.00,,Legal services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6730,,,ORG,Blank Rome LLP,,,,,,1825 Eye Street NW,,Washington,DC,20006,,,2023-09-07,1702.00,,Legal services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6732,,,ORG,Blu on the Hudson,,,,,,1200 Harbor Blvd,,Weehawken,NJ,07086,,,2023-12-15,5527.18,,Fundraising meeting meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6733,,,ORG,Blu on the Hudson,,,,,,1200 Harbor Blvd,,Weehawken,NJ,07086,,,2023-12-21,1700.58,,Fundraising meeting meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6734,,,ORG,Borgata,,,,,,1 Borgata Way,,Atlantic City,NJ,08401,,,2023-10-16,346.73,,Fundraising meeting meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6735,,,ORG,Borgata,,,,,,1 Borgata Way,,Atlantic City,NJ,08401,,,2023-11-20,460.08,,Fundraising meeting meal,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6737,,,ORG,Evernest Financial Advisors,,,,,,250 W 96TH ST STE 300,,INDIANAPOLIS,IN,462601329,,,2023-07-18,4090.47,,Investment Advisor,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6738,,,ORG,Evernest Financial Advisors,,,,,,250 W 96TH ST STE 300,,INDIANAPOLIS,IN,462601329,,,2023-10-11,4214.95,,Investment Advisor,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6736,,,IND,,Nussbaum,Drew,,,,443 Albany Ct.,,West New York,NJ,07093,,,2023-12-01,3000.00,,Reimbursement for fundraising dinner,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6736.0,SB21B.6736,SB21B,ORG,Atlantic City Seafood Festival,,,,,,1000 Boardwalk,,Atlantic City,NJ,08401,,,2023-12-01,3000.00,,Fundraising dinner,003,,,,,,,,,,,,,,,,,,X,
SB21B,C00582841,SB21B.6740,,,ORG,Ocean Casino Resort,,,,,,500 Boardwalk,,Atlantic City,NJ,08401,,,2023-11-20,1316.51,,Fundraising meeting dinner,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6741,,,ORG,Royal Printing Service,,,,,,435 51st St,,West New York,NJ,07093,,,2023-07-11,367.86,,Fundraising mailers,003,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6724,,,ORG,Stamps.com,,,,,,1990 East Grand Avenue,,El Segundo,CA,90245,,,2023-10-12,19.99,,Stamps,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6725,,,ORG,Stamps.com,,,,,,1990 East Grand Avenue,,El Segundo,CA,90245,,,2023-11-13,19.99,,Stamps,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6726,,,ORG,Stamps.com,,,,,,1990 East Grand Avenue,,El Segundo,CA,90245,,,2023-12-12,19.99,,Stamps,001,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6742,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-08-02,73.46,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6743,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-08-21,43.66,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
SB21B,C00582841,SB21B.6744,,,ORG,Uber,,,,,,1455 Market St. Ste 400,,San Francisco,CA,94103,,,2023-08-28,26.69,,Travel to/from meetings,002,,,,,,,,,,,,,,,,,,,
