form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00364133,B852772,,,CCM,Friends of Laura Fine,,,,,,1700 Constitution Dr,,Glenview,IL,60026,P2026,,2023-08-16,300.00,,P-2026 State Senate 9 IL,011,,,,Fine,Laura,,,,S,IL,09,,,,,,,,
SB29,C00364133,B857422,,,CCM,Friends of Friday Ellis,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,P2024,,2023-10-17,1000.00,,P-2024 Mayor Monroe LA,011,,,,Ellis,Friday,,,,,LA, ,,,,,,,,
SB29,C00364133,B857423,,,CCM,Committee to Re-elect Ricky Templet,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,P2027,,2023-10-17,1000.00,,P-2027 City Council Jefferson Parish-1 L,011,,,,Templet,Ricky,,,,,LA, ,,,,,,,,
SB29,C00364133,B858727,,,COM,One Team LA,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,O2023,Not Applicable,2023-11-01,2500.00,,Non-Fed Political Org-State,011,,,,,,,,,,, ,,,,,,,,
SB29,C00364133,B858667,,,CCM,Vincent Cox Campaign Committee,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,P2027,,2023-11-01,250.00,,P-2027 State House 85 LA,011,,,,Cox,Vincent,,,III,H,LA,85,,,,,,,,
SB29,C00364133,B858671,,,CCM,Sam Jenkins Campaign Fund,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,G2023,,2023-11-01,500.00,,G-2023 State Senate 39 LA,011,,,,Jenkins,Sam,,,,S,LA,39,,,,,,,,
SB29,C00364133,B858666,,,CCM,Bo LaGrange Campaign Committee,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,G2023,,2023-11-01,250.00,,G-2023 State Senate 21 LA,011,,,,LaGrange,Henry,,,,S,LA,21,,,,,,,,
SB29,C00364133,B858668,,,CCM,Shaun Mena Campaign Fund,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,G2023,,2023-11-01,250.00,,G-2023 State House 23 LA,011,,,,Mena,Shaun,,,,H,LA,23,,,,,,,,
SB29,C00364133,B858670,,,CCM,Campaign for Lauren Ventrella,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,G2023,,2023-11-01,500.00,,G-2023 State House 65 LA,011,,,,Ventrella,Lauren,,,,H,LA,65,,,,,,,,
SB29,C00364133,B858669,,,CCM,Friends of John Wyble,,,,,,13526 Grand Ridge Drive,,Baton Rouge,LA,70810,G2023,,2023-11-01,250.00,,G-2023 State House 75 LA,011,,,,Wyble,John,,,,H,LA,75,,,,,,,,
SB29,C00364133,B852781,,,CCM,Committee to Elect Jon Cardin,,,,,,309 Allegheny Avenue,,Towson,MD,21204,O2026,Election Cycle,2023-08-16,2000.00,,O-2026 State House 11 MD,011,,,,Cardin,Jon,,,,H,MD,11,,,,,,,,
