form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00747220,SB21B.5676,,,ORG,Professional Data Services,,,,,,824 S. Milledge Ave,Ste 101,Athens,GA,30605,,,2023-12-11,881.89,,JFC Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5594,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-10-12,167.05,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5611,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-10-18,131.00,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5631,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-10-31,12.05,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5637,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-11-07,51.30,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5638,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-11-08,47.30,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5639,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-11-16,65.45,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5656,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-11-29,103.08,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5675,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-12-07,398.20,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5690,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-12-19,44.98,,JFC CC Transaction Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5692,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-12-27,588.05,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5693,,,ORG,Stripe,,,,,,510 Townsend Street,,San Francisco,CA,94103,,,2023-12-28,398.20,,JFC CC Transaction Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5576,,,ORG,The CW Group,,,,,,1152 Mae Street,Suite 129,Hummelstown,PA,17036,,,2023-10-02,1500.00,,JFC Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5612,,,ORG,The CW Group,,,,,,1152 Mae Street,Suite 129,Hummelstown,PA,17036,,,2023-10-24,13185.33,,JFC Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5632,,,ORG,The CW Group,,,,,,1152 Mae Street,Suite 129,Hummelstown,PA,17036,,,2023-11-06,1500.00,,JFC Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00747220,SB21B.5673,,,ORG,The CW Group,,,,,,1152 Mae Street,Suite 129,Hummelstown,PA,17036,,,2023-12-04,1500.00,,JFC Fundraising Consulting,001,,,,,,,,,,,,,,,,,,,
