form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00831651,SB23.I178,,,CCM,BERNIE MORENO FOR SENATE,,,,,,PO BOX 340797,,COLUMBUS,OH,43234,P2024,,2023-09-29,3300.00,,CONTRIBUTION,,C00837484,,S4OH00192,MORENO,BERNIE,,,,S,OH,,  ,,,,,,,
SB23,C00831651,SB23.I181,,,CCM,DR JEFF GUNTER FOR SENATE,,,,,,PO BOX 95546,,LAS VEGAS,NV,89193,P2024,,2023-09-29,3300.00,,CONTRIBUTION,,C00847418,,S4NV00304,GUNTER,JEFF,,DR,,S,NV,,  ,,,,,,,
SB23,C00831651,SB23.I273,,,CCM,ESPOSITO FOR CONGRESS,,,,,,PO BOX 622,,GOSHEN,NY,10924,P2024,,2023-12-14,5000.00,,CONTRIBUTION,011,C00852889,,H4NY18117,ESPOSITO,ALISON,,,,H,NY,18,  ,,,,,,,
SB23,C00831651,SB23.I274,,,CCM,ESPOSITO FOR CONGRESS,,,,,,PO BOX 622,,GOSHEN,NY,10924,G2024,,2023-12-14,5000.00,,CONTRIBUTION,011,C00852889,,H4NY18117,ESPOSITO,ALISON,,,,H,NY,18,  ,,,,,,,
SB23,C00831651,SB23.I69,,,CCM,LALOTA FOR CONGRESS,,,,,,P.O. BOX 5744,,HAUPPAUGE,NY,11788,P2024,,2023-07-03,800.00,,TRANSMITTAL OF EARMARKS,011,C00806018,,H2NY01190,LALOTA,NICHOLAS JOSEPH,,,,H,NY,01,  ,,,,,,,
SB23,C00831651,SB23.I295,SB23.I69,SB23,CCM,LALOTA FOR CONGRESS,,,,,,P.O. BOX 5744,,HAUPPAUGE,NY,11788,P2024,,2023-07-03,800.00,,EARMARKED BY RICHARD PETER NESPOLA,,C00806018,,H2NY01190,LALOTA,NICHOLAS JOSEPH,,,,H,NY,01,  ,,,,,,X,
SB23,C00831651,SB23.I276,,,CCM,MAZI FOR CONGRESS,,,,,,228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,S2024,SPECIAL GENERAL,2023-12-14,5000.00,,CONTRIBUTION,011,C00860429,,H4NY03283,PILIP,MAZI,MELESA,,,H,NY,03,  ,,,,,,,
SB23,C00831651,SB23.I277,,,CCM,MAZI FOR CONGRESS,,,,,,228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,P2024,,2023-12-14,5000.00,,CONTRIBUTION,011,C00860429,,H4NY03283,PILIP,MAZI,MELESA,,,H,NY,03,  ,,,,,,,
SB23,C00831651,SB23.I179,,,CCM,MIKE GARCIA FOR CONGRESS,,,,,,9070 IRVINE CENTER DRIVE #150,,IRVINE,CA,92618,P2024,,2023-09-29,2300.00,,CONTRIBUTION,,C00701102,,H0CA25105,GARCIA,MICHAEL,,,,H,CA,27,  ,,,,,,,
SB23,C00831651,SB23.I244,,,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-06,15000.00,,TRANSMITTAL OF EARMARKS,011,C00858019,,,,,,,,,,,  ,,,,,,,
SB23,C00831651,SB23.I245,SB23.I244,SB23,PAC,GROW THE MAJORITY NY,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-12-06,5000.00,,EARMARKED BY MEHRAN HAKIMIAN,,C00858019,,,,,,,,,,,  ,,,,,,X,
