form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00708636,SB21B.4887,,,ORG,ACTBLUE,,,,,,P.O. BOX 441146,,SOMERVILLE,MA,02144,,,2023-11-27,197.50,,PAC Credit Card Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4835,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-07-26,51.25,,PAC Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4836,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-08-25,50.00,,PAC Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4837,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-09-27,50.00,,PAC Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4889,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-10-27,106.25,,PAC Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4888,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-11-29,50.00,,PAC Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4890,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2023-12-29,65.00,,PAC Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4915,,,ORG,HM Consulting,,,,,,114 Lexington Dr,,Silver Spring,MD,20901,,,2023-10-30,1099.00,,PAC Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4915.0,SB21B.4915,SB21B,ORG,DCanter,,,,,,545 8th Street SE,,Washington,DC,20003,,,2023-10-30,1099.00,,PAC Fundraising Event Expense,,,,,,,,,,,,,,,,,,,X,
SB21B,C00708636,SB21B.4858,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-07-25,675.00,,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4862,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-08-08,407.50,,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4926,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-08-08,2.40,,PAC Postage and Shipping,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4927,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-11-07,956.25,,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4928,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-11-07,37.12,,PAC Postage and Shipping,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4929,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-12-06,607.50,,PAC Account Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00708636,SB21B.4930,,,ORG,"Political Compliance Management Services, LLC",,,,,,910 17th St NW Ste 925,,Washington,DC,20006,,,2023-12-06,2.46,,PAC Postage and Shipping,,,,,,,,,,,,,,,,,,,,
