form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00635565,SB21B.10518,,,ORG,AMERICAN EXPRESS,,,,,,P.O. BOX 360001,,FORT LAUDERDALE,FL,333360001,,,2023-10-11,2460.50,,CREDIT CARD PAYMENT: SEE ITEMIZATION IF REQUIRED,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10525,,,ORG,APEX,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-11-08,0.08,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10519,,,ORG,"BAYOU STATE STRATEGIES, LLC",,,,,,PO BOX 1939,,PRAIRIEVILLE,LA,70769,,,2023-10-13,11666.67,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10527,,,ORG,"BAYOU STATE STRATEGIES, LLC",,,,,,PO BOX 1939,,PRAIRIEVILLE,LA,70769,,,2023-11-14,11666.67,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10529,,,ORG,"BAYOU STATE STRATEGIES, LLC",,,,,,PO BOX 1939,,PRAIRIEVILLE,LA,70769,,,2023-12-15,11666.67,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10520,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-10-13,25.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10522,,,ORG,CHAIN BRIDGE BANK,,,,,,1445 LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-10-31,5.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10536,,,ORG,FEDEX,,,,,,3875 AIRWAYS BLVD,,MEMPHIS,TN,38116,,,2023-09-09,26.05,,DELIVERY SERVICES [SB21B.10518],,,,,,,,,,,,,,,,,,,X,
SB21B,C00635565,SB21B.10521,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-10-13,306.10,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10526,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-11-13,268.15,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10528,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-12-06,268.15,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00635565,SB21B.10534,,,ORG,SNOS SEAFOOD & STEAK,,,,,,13131 AIRLINE HWY 6839,,GONZALES,LA,70737,,,2023-08-29,68.49,,EVENT EXPENSE: CATERING [SB21B.10518],,,,,,,,,,,,,,,,,,,X,
SB21B,C00635565,SB21B.10535,,,ORG,SNOS SEAFOOD & STEAK,,,,,,13131 AIRLINE HWY 6839,,GONZALES,LA,70737,,,2023-08-29,2281.53,,EVENT EXPENSE: CATERING [SB21B.10518],,,,,,,,,,,,,,,,,,,X,
