form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00789867,SB29.5060,,,ORG,All We Print,,,,,,6241 Warner Ave,Apt 200,Huntington Beach,CA,92647,,,2023-08-21,64.65,,T-shirts,004,,,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5084,,,ORG,Self Help Interfaith Program OC,,,,,,12361 Magnolia St,,Garden Grove,CA,92841,,,2023-11-22,250.00,,"Memorial donation, Kent Krause",012,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5039,,,ORG,State Farm,,,,,,1 State Farm Plaza,,Bloomington,IL,61710,,,2023-08-16,27.08,,Liability Insurance,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5040,,,ORG,State Farm,,,,,,1 State Farm Plaza,,Bloomington,IL,61710,,,2023-09-18,27.08,,Liability Insurance,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5041,,,ORG,State Farm,,,,,,1 State Farm Plaza,,Bloomington,IL,61710,,,2023-10-18,27.08,,Liability Insurance,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5042,,,ORG,State Farm,,,,,,1 State Farm Plaza,,Bloomington,IL,61710,,,2023-11-16,27.08,,Liability Insurance,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5043,,,ORG,State Farm,,,,,,1 State Farm Plaza,,Bloomington,IL,61710,,,2023-12-18,27.08,,Liability Insurance,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5045,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-08-11,27.18,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5046,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-09-11,27.18,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5047,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-10-11,27.18,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5048,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-11-03,42.50,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5049,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-11-11,27.18,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
SB29,C00789867,SB29.5050,,,ORG,Zoom,,,,,,55 Almaden Blvd,6th Floor,San Jose,CA,95113,,,2023-12-11,27.18,,Web services,001,C00789867,ORANGE COAST HUDDLE,,,,,,,,,,,,,,,,,
