form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00647420,SB21B.5404,,,ORG,304 Pennsylvania Avenue Corp,,,,,,"304 Pennsylvania Ave., SE",,Washington,DC,20003,,,2023-08-01,-250.00,,Void Check Issued 12/28/21,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5406,,,ORG,American Express,,,,,,PO Box 96001,,Los Angeles,CA,90096,,,2023-09-05,8433.46,,Credit Card Payment See Itemization Below,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5406.0,SB21B.5406,SB21B,ORG,Montage,,,,,,30801 South Coast Highway,,Laguna Beach,CA,92651,,,2023-09-05,8433.46,,Site Rental/Catering/Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00647420,SB21B.5405,,,ORG,Anedot,,,,,,1340 Poydras St.,Ste. 1770,New Orleans,LA,70112,,,2023-08-01,200.30,,Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5410,,,ORG,Anedot,,,,,,1340 Poydras St.,Ste. 1770,New Orleans,LA,70112,,,2023-09-30,100.60,,Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5407,,,ORG,Bogart Associates Inc.,,,,,,1200 Trinity Drive,,Alexandria,VA,22314,,,2023-09-05,4300.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5408,,,ORG,Bogart Associates Inc.,,,,,,1200 Trinity Drive,,Alexandria,VA,22314,,,2023-09-05,130.74,,Travel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5411,,,ORG,Bogart Associates Inc.,,,,,,1200 Trinity Drive,,Alexandria,VA,22314,,,2023-10-23,3850.00,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5412,,,ORG,Bogart Associates Inc.,,,,,,1200 Trinity Drive,,Alexandria,VA,22314,,,2023-10-23,1703.52,,Travel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5413,,,ORG,Huckaby Davis Lisker Inc.,,,,,,"228 S. Washington St., Ste. 115",,Alexandria,VA,22314,,,2023-10-23,3745.69,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00647420,SB21B.5409,,,ORG,Montage,,,,,,30801 South Coast Highway,,Laguna Beach,CA,92651,,,2023-09-19,1843.22,,Site Rental/Catering/Lodging,,,,,,,,,,,,,,,,,,,,
