form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00620443,500607475,,,IND,,Murphy,Stephanie,,,,PO Box 205,,Winter Park,FL,327900205,,,2024-01-10,11256.18,0.00,"Travel, Office Supplies, Meals Reimbursement - See Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00620443,500607500,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,13.24,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607510,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,2.06,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607520,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,15.20,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607480,500607475,SB21B,ORG,Casa Teresa,,,,,,919 19th St NW,,Washington,DC,200062101,,,2024-01-10,1269.53,0.00,Catering,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607501,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,2.35,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607511,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,34.02,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607521,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,81.32,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607502,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,53.90,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607512,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,26.10,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607482,500607475,SB21B,ORG,Expedia,,,,,,333 108th Ave NE,,Bellevue,WA,980045703,,,2024-01-10,841.60,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
