form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00835967,B-35,,,ORG,DT CLIENT SERVICES LLC,,,,,,1310 NORTH COURTHOUSE ROAD #840,,ARLINGTON,VA,22201,,,2024-02-02,21250.00,,DATA SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-42,,,ORG,HONOLD COMMUNICATIONS INC.,,,,,,32 WEST LAKE STREET,,SKANEATELES,NY,13152,,,2024-02-08,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-53,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-12,35.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-52,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-13,35.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-83,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-14,35.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-84,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-15,70.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-111,,,ORG,INTEGRATED SOLUTIONS: POLITICAL,,,,,,4142 ADAMS AVENUE,SUITE 103-550,SAN DIEGO,CA,92116,,,2024-02-16,2645.16,,SOFTWARE & SUPPORT,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-85,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-16,210.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-99,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-20,175.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-100,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-21,210.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-109,,,ORG,WESTERN ALLIANCE BANK,,,,,,8505 WEST CENTENNIAL PARKWAY,,LAS VEGAS,NV,89149,,,2024-02-22,154.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-161,,,ORG,COALITION FOR AMERICAN EXCELLENCE,,,,,,1934 OLD GALLOWS ROAD,,VIENNA,VA,22182,,,2024-02-28,7485.82,,IN KIND: STRATEGY CONSULTING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-162,,,ORG,COALITION FOR AMERICAN EXCELLENCE,,,,,,1934 OLD GALLOWS ROAD,,VIENNA,VA,22182,,,2024-02-28,20000.00,,IN KIND: RESEARCH SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00835967,B-151,,,ORG,HONOLD COMMUNICATIONS INC.,,,,,,32 WEST LAKE STREET,,SKANEATELES,NY,13152,,,2024-02-29,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
