form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00691626,SB23.4750,,,CCM,BETH VAN DUYNE FOR CONGRESS,,,,,,P.O. BOX 630167,,IRVING,TX,75063,P2024,,2024-03-29,-2000.00,,void check-original check date 2/9/23,,C00714865,BETH VAN DUYNE FOR CONGRESS,H0TX24209,VAN DUYNE,ELIZABETH ANN,,,,H,TX,24,,,,,,,,
SB23,C00691626,SB23.4743,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,P.O. BOX 3580,,SYRACUSE,NY,13220,P2024,,2024-03-26,-1000.00,,void check-original check date 11/17/22,,C00806307,BRANDON FOR CONGRESS NY22,H2NY22212,WILLIAMS,BRANDON MCDONALD,,,,H,NY,22,,,,,,,,
SB23,C00691626,SB23.4747,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,P.O. BOX 3580,,SYRACUSE,NY,13220,P2024,,2024-03-26,3300.00,,contribution,,C00806307,BRANDON FOR CONGRESS NY22,H2NY22212,WILLIAMS,BRANDON MCDONALD,,,,H,NY,22,,,,,,,,
SB23,C00691626,SB23.4748,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,P.O. BOX 3580,,SYRACUSE,NY,13220,G2024,,2024-03-26,3300.00,,contribution,,C00806307,BRANDON FOR CONGRESS NY22,H2NY22212,WILLIAMS,BRANDON MCDONALD,,,,H,NY,22,,,,,,,,
SB23,C00691626,SB23.4732,,,CCM,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,P2024,,2024-03-14,-3300.00,,void check-original check date 7/12/23,,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",P80001571,TRUMP,DONALD J.,,,,P,,00,,,,,,,,
SB23,C00691626,SB23.4733,,,CCM,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,G2024,,2024-03-14,-3300.00,,void check-original check date 7/12/23,,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",P80001571,TRUMP,DONALD J.,,,,P,,00,,,,,,,,
SB23,C00691626,SB23.4734,,,CCM,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,P2024,,2024-03-14,3300.00,,contribution,,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",P80001571,TRUMP,DONALD J.,,,,P,,00,,,,,,,,
SB23,C00691626,SB23.4735,,,CCM,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,G2024,,2024-03-14,3300.00,,contribution,,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",P80001571,TRUMP,DONALD J.,,,,P,,00,,,,,,,,
SB23,C00691626,SB23.4742,,,CCM,ESPOSITO FOR CONGRESS,,,,,,P.O. BOX 622,,GOSHEN,NY,10924,P2024,,2024-03-20,3300.00,,contribution,,C00852889,ESPOSITO FOR CONGRESS,H4NY18117,ESPOSITO,ALISON,,,,H,NY,18,,,,,,,,
SB23,C00691626,SB23.4749,,,CCM,LANGWORTHY FOR CONGRESS,,,,,,P.O. BOX 120,,CLARENCE,NY,14031,P2024,,2024-03-29,-1000.00,,void check-original check date 11/17/22,,C00817932,LANGWORTHY FOR CONGRESS,,,,,,,H,NY,23,,,,,,,,
SB23,C00691626,SB23.4751,,,CCM,MICHELLE STEEL FOR CONGRESS,,,,,,92A SURFSIDE AVENUE,#472,SURFSIDE,CA,90743,P2024,,2024-03-29,-2000.00,,void check-original check date 2/9/23,,C00704981,MICHELLE STEEL FOR CONGRESS,H0CA48198,STEEL,MICHELLE,,,,H,CA,48,,,,,,,,
