form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00426072,SB29.6141,,,PTY,Allegheny County Democratic Committee,,,,,,22 Wabash Street,Suite 205,Pittsburgh,PA,15220,,,2024-02-28,1500.00,,Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6136,,,PAC,Chamber PAC,,,,,,417 Walnut St.,,Harrisburg,PA,17101,,,2024-02-28,2500.00,,PAC Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6124,,,CCM,Citizens for McColley,,,,,,15 Lemans Drive,,Napoleon,OH,43545,,,2024-02-28,1000.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6137,,,PAC,Food PAC of PA,,,,,,P.O. Box 870,,Camp Hill,PA,17001,,,2024-02-28,1000.00,,PAC Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6121,,,CCM,Friends of Bride Rose Sweeney,,,,,,24687 Tara Lynn Drive,,North Olmstead,OH,44070,,,2024-02-28,500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6118,,,CCM,Friends of Joanna McClinton,,,,,,P.O. Box 16668,,Philadelphia,PA,19139,,,2024-02-28,2500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6120,,,CCM,Friends of Joe Miller,,,,,,433 Northpointe Blvd.,,Amherst,OH,44001,,,2024-02-28,500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6119,,,CCM,Friends of Joe Pittman,,,,,,P.O Box 382,,Indiana,PA,15701,,,2024-02-28,1000.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6131,,,CCM,Friends of Jon Cross,,,,,,8 N. Main Street,,Kenton,OH,43326,,,2024-02-28,500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6116,,,CCM,Friends of Kim Ward,,,,,,210 Kelker St.,,Harrisburg,PA,17102,,,2024-02-28,2500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6127,,,CCM,Friends of Swearingen,,,,,,4679 Winterset Dr.,,Columbus,OH,43220,,,2024-02-28,1000.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6123,,,CCM,Matt Huffman for Ohio,,,,,,4679 Winterset Dr.,,Columbus,OH,43220,,,2024-02-28,2000.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6134,,,PAC,OLBC - Political Action Fund,,,,,,545 E. Town Street,,Columbus,OH,43215,,,2024-02-28,500.00,,PAC Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6115,,,CCM,PA HDCC,,,,,,800 N 3rd Street,Suite 303,Harrisburg,PA,17102,,,2024-01-22,2500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6128,,,CCM,Sharon Ray for Representative,,,,,,283 Stratford Avenue,,Wadsworth,OH,44281,,,2024-02-28,500.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00426072,SB29.6122,,,CCM,Stephens for Ohio,,,,,,4679 Winterset Dr.,,Columbus,OH,43220,,,2024-02-28,2000.00,,Campaign Contribution,,,,,,,,,,,,,,,,,,,,
