form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00867010,SB21B.I2359,,,CCM,BERNIE MORENO FOR SENATE,,,,,,PO BOX 340797,,COLUMBUS,OH,43234,,,2024-02-09,29466.75,,REIMBURSEMENT: FUNDRAISING EXPENSES,,C00837484,,S4OH00192,MORENO,BERNIE,,,,S,OH,,  ,,,,,,,
SB21B,C00867010,SB21B.I2354,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-02-09,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2355,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-02-27,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2356,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,221822245,,,2024-02-23,250.00,,SOFTWARE SUBSCRIPTIONS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2357,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,221822245,,,2024-03-08,250.00,,SOFTWARE SUBSCRIPTIONS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2358,,,ORG,"TEMPLAR BAKER GROUP, LLC",,,,,,17800 LAUREL PARK DR. N,SUITE 200C,LIVONIA,MI,48152,,,2024-03-29,9148.43,,FUNDRAISING CONSULTING & EXPENSES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2360,,,ORG,THE MAR-A-LAGO CLUB,,,,,,1100 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,,,2024-02-28,1131.85,,FACILITY RENTAL & CATERING SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2361,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-29,1525.75,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2362,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-30,64.00,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2363,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-01-31,243.20,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2364,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-06,518.40,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00867010,SB21B.I2365,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-07,51.20,,MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
