form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00494237,SB29.7543,,,CCM,Citizens for O'Brien,,,,,,3434 Stumpville Rd,,Rome,OH,44085,,,2024-02-20,1000.00,,Political Contribution Ohio State Senator,011,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7541,,,CCM,FRIENDS OF BRIAN STEWART,,,,,,15075 Home Ct,,Ashville,OH,43103,,,2024-02-19,2500.00,,Political Contribution Ohio State Representative,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7538,,,CCM,KLOPFENSTEIN FOR OHIO,,,,,,2693 ROAD 87,,HAVILAND,OH,45851,,,2024-02-12,500.00,,Contribution Klopfenstein Ohio State Representative,011,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7545,,,CCM,Matt Huffman for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,,,2024-02-20,1500.00,,Political Contribution Ohio State Senator,011,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7502,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,7.55,,CC Processing Fees - Ruck,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7503,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,3.20,,"CC Processing Fees - Haerr, J",001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7504,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,16.25,,CC Processing Fees - Boyce,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7506,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,31.48,,CC Processing Fees - Niese,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7508,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,1.75,,CC Processing Fees - Baughman,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7509,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,1.75,,CC Processing Fees - Corry,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7510,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,3.20,,CC Processing Fees - Sweeting,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7511,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,46.70,,CC Processing Fees - Gerten,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7512,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,4.65,,CC Processing Fees - Carper,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7513,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,14.80,,CC Processing Fees - Drewes,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7514,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,3.20,,CC Processing Fees - Haerr L,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7515,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,14.80,,CC Processing Fees - Gerten,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7516,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,23.50,,CC Processing Fees - Etgen,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7517,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,14.80,,"CC Processing Fees - Haerr, S",001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7518,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,24.95,,CC Processing Fees - Onweller,001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7519,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,3.20,,"CC Processing Fees - Miller, A",001,,,,,,,,,,,,,,,,,,,
SB29,C00494237,SB29.7520,,,ORG,"Stripe, Inc.",,,,,,510 Townsend St,,San Francisco,CA,94103,,,2024-02-13,3.20,,CC Processing Fees - Szprejda,001,,,,,,,,,,,,,,,,,,,
