form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00505552,500437240,,,ORG,CT Corporation,,,,,,28 Liberty St,,New York,NY,100051400,,,2024-01-08,475.00,0.00,Filing Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500429183,,,ORG,Intuit Marketplace,,,,,,2632 Marine Way,,Mountain View,CA,940431126,,,2024-01-02,95.40,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437358,,,ORG,Intuit Marketplace,,,,,,2632 Marine Way,,Mountain View,CA,940431126,,,2024-02-02,95.40,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437359,,,ORG,Intuit Marketplace,,,,,,2632 Marine Way,,Mountain View,CA,940431126,,,2024-03-05,95.40,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437243,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-03-07,689.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437246,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-03-21,1650.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437363,,,ORG,RBC Wealth Management,,,,,,1700 Pennsylvania Ave NW,,Washington,DC,200064700,,,2024-01-31,1254.44,0.00,Broker Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437364,,,ORG,RBC Wealth Management,,,,,,1700 Pennsylvania Ave NW,,Washington,DC,200064700,,,2024-02-29,595.52,0.00,Broker Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437913,,,ORG,RBC Wealth Management,,,,,,1700 Pennsylvania Ave NW,,Washington,DC,200064700,,,2024-03-29,1001.06,0.00,Broker Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437241,,,ORG,Visa,,,,,,PO Box 4512,,Carol Stream,IL,601974512,,,2024-01-08,1350.00,0.00,Credit Card Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00505552,500437248,500437241,SB21B,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-01-08,1350.00,0.00,Software,,,,,,,,,,,,,,,,,,,X,*
