form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00869891,SB21B.4391,,,ORG,20 Monroe Live,,,,,,11 Ottawa Ave NW,,Grand Rapids,MI,49503,,,2024-02-28,26541.05,,Room Rental for Election Night Party,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4386,,,ORG,Amway Grand Plaza,,,,,,187 Monroe Ave NW,,Grand Rapids,MI,49503,,,2024-03-04,296.75,,Hotel for Staff,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4390,,,IND,,Cordes,Paul,,,,3199 Valleyview Dr NE,,Rockford,MI,49341,,,2024-03-01,10000.00,,Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4373,,,ORG,Courtyard by Marriott,,,,,,600 E Michigan Ave,,Lansing,MI,48912,,,2024-03-31,324.92,,Hotel for Staff,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4397,,,ORG,Creative Day,,,,,,379 Executive Dr.,,Troy,MI,48083,,,2024-02-27,13406.20,,Production for Election Night Party,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4384,,,ORG,Hilton Hotel,,,,,,1600 Lamar St,,Houston,TX,77010,,,2024-03-07,317.07,,Hotel for Staff,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4375,,,ORG,Mailchimp,,,,,,675 Ponce De Lcon Ave NE,,Atlanta,GA,30308,,,2024-03-24,310.00,,Email Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4399,,,ORG,Suburban Collection Showplace,,,,,,46100 Grand River Ave,,Novi,MI,48374,,,2024-02-21,12000.00,,Room Rental for Fundraiser,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4393,,,ORG,Thimble,,,,,,174 West 4th Street Suite 204,,New York,NY,10014,,,2024-02-28,219.61,,Business Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4363,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-20,976.52,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4364,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-21,387.86,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4365,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-22,445.26,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4366,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-23,378.31,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4367,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-26,201.55,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4368,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-27,237.79,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4369,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-28,313.51,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4370,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-02-29,160.15,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4371,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-03-05,3.40,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00869891,SB21B.4372,,,ORG,Winred,,,,,,PO Box 9891,,Arlington,VA,22219,,,2024-03-25,11.23,,CC Processing Fees,,,,,,,,,,,,,,,,,,,,
