form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00625566,SB21B.14768,,,ORG,Allcraft Printing,,,,,,4802 Memphis St,,Dallas,TX,75207,,,2024-02-09,4377.63,,PAC Materials Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14769,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-03-13,40.27,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14855,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-03-18,4.32,,Membership Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14770,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-03-19,6.48,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14771,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2024-03-29,6.48,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14772,,,ORG,American Airlines,,,,,,619616 DFW Airport,,Dallas,TX,75261,,,2024-01-09,306.10,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14773,,,ORG,American Airlines,,,,,,619616 DFW Airport,,Dallas,TX,75261,,,2024-01-16,34.48,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14777,,,ORG,Best Buy,,,,,,7601 Penn Ave,,Richfield,MN,55423,,,2024-02-08,752.58,,Office Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14778,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2024-01-15,45000.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14779,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2024-02-15,47000.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14780,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2024-03-15,7372.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
