form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00455394,EB16459,,,ORG,"EveryAction, Inc.",,,,,,"655 15th Street, NW",Suite 650,Washington,DC,20005,,,2024-01-19,1609.50,,Software Subscription,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16460,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-01-25,1041.50,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16834,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-03-06,2164.50,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16837,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-03-27,724.00,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16633,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-01-31,564.80,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16634,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-01-31,6.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16835,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-02-29,6.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB16836,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-02-29,822.22,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB17018,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-03-31,166.43,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB17019,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-03-31,181.65,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB17020,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-03-31,206.21,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00455394,EB17021,,,ORG,US Bank,,,,,,"621 Capitol Mall, #800",,Sacramento,CA,95814,,,2024-03-31,6.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
