form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00855213,SE.4135,,,ORG,Durden Outdoor Displays,,,,,,5500 US Hwy 431 North,,Dothan,AL,36303,P2024,,2024-01-08,7500.00,2024-01-09,46835.00,PAC Digital Ad,004,C00855213,S,H0AL01055,CARL,"JERRY LEE, JR",,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4110,,,ORG,Red Eagle Media,,,,,,815 Slaters Lane,,Alexandria,VA,22314,P2024,,2024-01-09,39335.00,2024-01-09,39335.00,PAC Digital Ad,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4119,,,ORG,Red Eagle Media,,,,,,815 Slaters Lane,,Alexandria,VA,22314,P2024,,2024-01-16,38985.00,2024-01-12,85820.00,PAC Digital Ad,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4128,,,ORG,Red Eagle Media,,,,,,815 Slaters Lane,,Alexandria,VA,22314,P2024,,2024-01-23,47560.00,2024-01-18,133380.00,PAC Digital Ad,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4146,,,ORG,Red Eagle Media,,,,,,815 Slaters Lane,,Alexandria,VA,22314,P2024,,2024-01-30,40119.00,2024-01-29,173499.00,PAC Digital Ad,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4148,,,ORG,Red Eagle Media,,,,,,815 Slaters Lane,,Alexandria,VA,22314,P2024,,2024-01-31,40185.00,2024-01-31,223684.00,PAC Digital Ad,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,
SE,C00855213,SE.4299,,,ORG,SR Communication,,,,,,2130 Hightland Ave S,,Birmingham,AL,35205,P2024,,2024-01-09,10000.00,2024-01-29,183499.00,PAC Digital Ad & Website,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,X
SE,C00855213,SE.4289,,,ORG,SR Communication,,,,,,2130 Hightland Ave S,,Birmingham,AL,35205,P2024,,2024-01-10,4400.00,2024-02-12,228084.00,PAC Digital Advertising,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,X
SE,C00855213,SE.4290,,,ORG,SR Communication,,,,,,2130 Hightland Ave S,,Birmingham,AL,35205,P2024,,2024-01-31,4400.00,2024-02-12,232484.00,PAC Digital Advertising,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,X
SE,C00855213,SE.4291,,,ORG,SR Communication,,,,,,2130 Hightland Ave S,,Birmingham,AL,35205,P2024,,2024-01-17,4400.00,2024-02-12,236884.00,PAC Digital Advertising,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,X
SE,C00855213,SE.4292,,,ORG,SR Communication,,,,,,2130 Hightland Ave S,,Birmingham,AL,35205,P2024,,2024-01-24,4400.00,2024-02-12,241284.00,PAC Digital Advertising,004,C00855213,O,H8AL02171,MOORE,FELIX BARRY,,,,H,01,AL,Dismukes,Dalton,,,,2024-05-13,X
