form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00494112,SB21B.9306,,,CCM,Diana DeGette for Congress,,,,,,PO Box 61337,,Denver,CO,80206,,,2023-08-01,1673.49,,Reimbursement for Sebastian Hotel,,C00311639,,,,,,,,H,CO,01,,,,,,,,
SB21B,C00494112,SB21B.9228,,,ORG,"Next Level Partners, LLC",,,,,,PO Box 15320,,Washington,DC,20003,,,2023-08-02,1750.00,,Consultant - Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9229,,,ORG,"Next Level Partners, LLC",,,,,,PO Box 15320,,Washington,DC,20003,,,2023-09-22,500.00,,Consultant - Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9230,,,ORG,"Next Level Partners, LLC",,,,,,PO Box 15320,,Washington,DC,20003,,,2023-11-03,500.00,,Consultant - Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9214,,,ORG,"Next Level Partners, LLC",,,,,,PO Box 15320,,Washington,DC,20003,,,2023-12-04,250.00,,Consultant - Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9218,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-07-07,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9219,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-08-01,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9220,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-09-06,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9213,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-10-03,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9221,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-11-02,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9300,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-11-22,6493.47,,Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9300.0,SB21B.9300,SB21B,ORG,The Sebastian,,,,,,16 Vail Rd,,Vail,CO,81657,,,2023-11-22,4406.52,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00494112,SB21B.9300.1,SB21B.9300,SB21B,ORG,The Sebastian,,,,,,16 Vail Rd,,Vail,CO,81657,,,2023-11-22,1769.48,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00494112,SB21B.9300.2,SB21B.9300,SB21B,ORG,United Airlines,,,,,,PO Box 66100,,Chicago,IL,60666,,,2023-11-22,317.47,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00494112,SB21B.9212,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-12-01,500.00,,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9296,,,ORG,The Frost Group,,,,,,"660 Pennsylvania Ave, SE",Suite 202,Washington,DC,20003,,,2023-12-20,9242.96,,Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00494112,SB21B.9296.0,SB21B.9296,SB21B,ORG,The Sebastian,,,,,,16 Vail Rd,,Vail,CO,81657,,,2023-12-20,1769.48,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00494112,SB21B.9296.1,SB21B.9296,SB21B,ORG,The Sebastian,,,,,,16 Vail Rd,,Vail,CO,81657,,,2023-12-20,1769.48,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00494112,SB21B.9296.2,SB21B.9296,SB21B,ORG,"Vail Resorts, Inc.",,,,,,390 Interlocken Crescent,,Broomfield,CO,80021,,,2023-12-20,5704.00,,Event Expenses,,,,,,,,,,,,,,,,,,,X,
