form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00682211,500073372,,,ORG,Lyft Inc.,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2024-04-01,87.01,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500073482,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-04-11,5584.77,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,
SB29,C00682211,500073520,500073482,SB29,ORG,American Airlines,,,,,,1 Skyview Dr,,Fort Worth,TX,761551801,,,2024-04-11,774.89,0.00,Non-Federal In-kind Travel to Pennsylvania Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073480,500073482,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-04-11,1249.57,0.00,Non-Federal In-Kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073521,500073482,SB29,ORG,American Airlines,,,,,,1 Skyview Dr,,Fort Worth,TX,761551801,,,2024-04-10,494.26,0.00,Non-Federal In-Kind Travel to Wisconsin Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073481,500073482,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-04-11,620.97,0.00,Non-Federal In-Kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073522,500073482,SB29,ORG,Alaska Airlines,,,,,,19300 International Blvd,,Seatac,WA,981885304,,,2024-04-11,109.86,0.00,Non-Federal In-Kind Travel to Wisconsin Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073483,500073482,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-04-11,1438.05,0.00,Non-Federal In-Kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073484,500073482,SB29,ORG,American Airlines,,,,,,1 Skyview Dr,,Fort Worth,TX,761551801,,,2024-04-11,482.21,0.00,Non-Federal In-Kind Travel to Ohio Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073519,500073482,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-04-10,414.96,0.00,Non-Federal In-Kind Travel to Wisconsin Democratic Party,,,,,,,,,,,,,,,,,,,X,*
SB29,C00682211,500073464,,,ORG,PEX,,,,,,462 Fashion Ave,Fl 21,New York,NY,100187422,,,2024-04-16,1900.00,0.00,Non-Federal In-Kind Travel to Pennsylvania Democratic Party,,,,,,,,,,,,,,,,,,,,
SB29,C00682211,500073465,,,ORG,PEX,,,,,,462 Fashion Ave,Fl 21,New York,NY,100187422,,,2024-04-12,250.00,0.00,Non-Federal In-Kind Travel to Michigan Democratic State Central Committee,,,,,,,,,,,,,,,,,,,,
SB29,C00682211,500073367,,,ORG,Microsoft,,,,,,1 Microsoft Way,,Redmond,WA,980528300,,,2024-04-16,77.23,0.00,Software,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500073458,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-04-10,2402.96,0.00,"Credit Card Payment, See Below",,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500073510,500073458,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-04-10,866.96,0.00,Travel,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00682211,500073492,500073458,SB29,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-04-10,312.43,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00682211,500073493,500073458,SB29,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-04-10,382.96,0.00,Non-Federal In-Kind Travel,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00682211,500073494,500073458,SB29,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-04-10,784.40,0.00,Travel,,,,,,,,,,,,,,,,,,,X,* Non-Contribution Account
SB29,C00682211,500073368,,,ORG,Microsoft,,,,,,1 Microsoft Way,,Redmond,WA,980528300,,,2024-04-18,77.23,0.00,Software,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500073369,,,ORG,Bank of America,,,,,,100 N Tryon St,,Charlotte,NC,282022135,,,2024-04-05,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500073379,,,ORG,Common Power,,,,,,6811 46th Ave NE,,Seattle,WA,981157631,,,2024-04-26,10645.54,0.00,Staff Time & Overhead,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
