form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00693838,SB21B.6945,,,ORG,BALDUR STRATEGIES,,,,,,3333 PORT ROYALE DR. S,APT 329,FORT LAUDERDALE,FL,33308,,,2024-04-10,2500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6944,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-04-10,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6946,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-05-06,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6949,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-04-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6950,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-04-16,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6951,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-05-01,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6952,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-05-01,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6953,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-05-03,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6954,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-05-14,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6955,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-05-14,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6957,,,ORG,DOWN RANGE DIGITAL LLC,,,,,,1309 COFFEEN AVE,STE 1200,SHERIDAN,WY,82801,,,2024-05-01,15000.00,,STRATEGIC COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6965,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-05-07,-1260794.00,,OFFSETTING ADJUSTMENT: VENDOR CREDIT: PLACED TV [SB21B:6920],,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6966,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-05-07,-74473.00,,OFFSETTING ADJUSTMENT: VENDOR CREDIT: DIGITAL ADVERTISING [SB21B:6920],,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6967,,,ORG,FLEXPOINT MEDIA INC,,,,,,P.O. BOX 1051,,NEW ALBANY,OH,43054,,,2024-05-07,-234805.00,,OFFSETTING ADJUSTMENT: VENDOR CREDIT: DIGITAL ADVERTISING [SE:6776],,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6958,,,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT ST,,PHILADELPHIA,PA,19106,,,2024-05-03,18169.50,,PRODUCTION COSTS: TV AND DIGITAL AD (UNRELEASED),,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6956,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-04-16,4258.05,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6959,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,STE 200,ARLINGTON,VA,22201,,,2024-05-14,1790.59,,DIGITAL FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.6948,,,ORG,THE MAIANNE SAHL COMPANY,,,,,,16714 FITZHUGH ROAD,,DRIPPING SPRINGS,TX,78620,,,2024-05-15,3500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
