form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00692137,5984136C,5984136,SA11AI,CCM,DR KIM SCHRIER FOR CONGRESS,,,,,,PO Box 2728,,Issaquah,WA,980270125,P2024,,2023-08-22,3300.00,0.00,Conduit Contribution,,C00652628,,,SCHRIER,KIM,DR.,,,H,WA,08,,,,,,,,Earmarked by Ellyn Lindsay
SB23,C00692137,500354450,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,P2024,,2023-09-28,5000.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00692137,5984129C,5984129,SA11AI,CCM,GILLEN FOR NY,,,,,,PO Box 33079,,Washington,DC,200330079,P2024,,2023-08-22,3300.00,0.00,Conduit Contribution,,C00840165,,,GILLEN,LAURA,,,,H,NY,04,,,,,,,,Earmarked by Ellyn Lindsay
SB23,C00692137,500354439,,,CCM,GILLEN FOR NY,,,,,,PO Box 33079,,Washington,DC,200330079,P2024,,2023-10-20,5000.00,0.00,Contribution,,C00840165,,,GILLEN,LAURA,,,,H,NY,04,,,,,,,,
SB23,C00692137,6690702C,6690702,SA11AI,CCM,MISSY FOR CONGRESS,,,,,,PO Box 55418,,Virginia Beach,VA,234719418,P2024,,2023-09-29,2500.00,0.00,Conduit Contribution,,C00849836,,,COTTER SMASAL,MISSY,,,,H,VA,02,,,,,,,X,Earmarked by Eric Knight
SB23,C00692137,500354447,,,CCM,MISSY FOR CONGRESS,,,,,,PO Box 55418,,Virginia Beach,VA,234719418,P2024,,2023-09-29,2401.25,0.00,Transmittal of Conduit Contribution,,C00849836,,,COTTER SMASAL,MISSY,,,,H,VA,02,,,,,,,,
SB23,C00692137,500354448,,,CCM,SABINA FOR RI,,,,,,1 Park Row,Ste 5,Providence,RI,029031235,O2023,Special Primary,2023-08-25,2500.00,0.00,Contribution,,C00835173,,,MATOS,SABINA,,,,H,RI,01,,,,,,,,
SB23,C00692137,5984134C,5984134,SA11AI,CCM,SARAH KLEE HOOD FOR NY,,,,,,PO Box 415,,Syracuse,NY,132140415,P2024,,2023-08-22,3300.00,0.00,Conduit Contribution,,C00793950,,,Hood,Sarah,Klee,,,H,NY,24,,,,,,,,Earmarked by Ellyn Lindsay
SB23,C00692137,500354446,,,CCM,SARAH KLEE HOOD FOR NY,,,,,,PO Box 415,,Syracuse,NY,132140415,P2024,,2023-10-18,5000.00,0.00,Contribution,,C00793950,,,Hood,Sarah,Klee,,,H,NY,24,,,,,,,,
SB23,C00692137,5902230C,,,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,P2024,,2023-07-05,50.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Erika Walker
SB23,C00692137,5902234C,,,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,P2024,,2023-07-05,50.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Karen Parker
