form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00484402,500907795,,,ORG,"A Luxe5 International, Inc.",,,,,,6464 Savoy Dr,,Houston,TX,770363395,,,2023-09-05,398.58,0.00,Transportation Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500883903,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-08-21,197.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908578,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-16,197.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908579,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-23,197.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908580,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-30,98.75,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908581,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-01,98.75,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500898408,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-11-13,98.75,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907765,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-08-16,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907766,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-08-16,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500907767,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-08-16,12064.00,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00484402,500908576,,,ORG,"Fulkerson, Kennedy & Co. LLC",,,,,,600 Pennsylvania Ave SE,Ste 201,Washington,DC,200034316,,,2023-08-16,15949.93,0.00,Fundraising Consulting and Expenses,,,,,,,,,,,,,,,,,,,,
