form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00101485,11871786,,,CCM,Friends Of John Barrasso,,,,,,PO Box 52008,,Casper,WY,82605,P2024,,2024-06-04,2500.00,0.00,,011,C00436386,Friends Of John Barrasso,S6WY00068,Barrasso,John,,Sen.,MD,S,WY,,,,,,,,,
SB23,C00101485,11878317,,,CCM,Citizens For Boyle,,,,,,PO Box 14310,,Philadelphia,PA,19115,G2024,,2024-06-24,1000.00,0.00,,011,C00543363,Citizens For Boyle,H4PA13199,Boyle,Brendan,,Rep.,,H,PA,02,,,,,,,,
SB23,C00101485,11878318,,,CCM,MCCOLLUM FOR CONGRESS,,,,,,P.O. Box 14131,,St. Paul,MN,55114,P2024,,2024-06-24,1000.00,0.00,,011,C00354688,MCCOLLUM FOR CONGRESS,H0MN04049,McCollum,Betty,,,,H,MN,04,,,,,,,,
SB23,C00101485,11878319,,,CCM,MCCOLLUM FOR CONGRESS,,,,,,P.O. Box 14131,,St. Paul,MN,55114,G2024,,2024-06-24,1500.00,0.00,,011,C00354688,MCCOLLUM FOR CONGRESS,H0MN04049,McCollum,Betty,,,,H,MN,04,,,,,,,,
SB23,C00101485,11880153,,,CCM,Fischbach For Congress,,,,,,PO Box 190,,Litchfield,MN,55355,P2024,,2024-06-27,1000.00,0.00,,011,C00717959,Fischbach For Congress,H0MN07091,Fischbach,Michelle,,Rep.,,H,MN,07,,,,,,,,
SB23,C00101485,11880154,,,CCM,Angie Craig For Congress,,,,,,P.O. Box 22116,,Eagan,MN,55122,P2024,,2024-06-27,1000.00,0.00,,011,C00575209,Angie Craig For Congress,H6MN02131,Craig,Angela,,Rep.,,H,MN,02,,,,,,,,
SB23,C00101485,11880155,,,CCM,Pete Stauber For Congress,,,,,,23 Central Entrance,Box 333,Duluth,MN,55811,P2024,,2024-06-27,2000.00,0.00,,011,C00650697,Pete Stauber For Congress,H8MN08043,Stauber,Pete,,,,H,MN,08,,,,,,,,
SB23,C00101485,11880156,,,CCM,Casten For Congress,,,,,,4915 Woodward Avenue,,Downers Grove,IL,60515,G2024,,2024-06-27,3500.00,0.00,,011,C00648493,Casten For Congress,H8IL06139,Casten,Sean,,,,H,IL,06,,,,,,,,
SB23,C00101485,11880158,,,CCM,Schneider For Congress,,,,,,PO Box 1318,,Deerfield,IL,60015,G2024,,2024-06-27,1500.00,0.00,,011,C00495952,Schneider For Congress,H2IL10068,Schneider,Bradley,,Mr.,,H,IL,10,,,,,,,,
SB23,C00101485,11880184,,,CCM,Friends Of Glenn Thompson,,,,,,PO Box 1112,,State College,PA,16804,G2024,,2024-06-27,1500.00,0.00,,011,C00444620,Friends Of Glenn Thompson,H8PA05071,Thompson,Glenn,,Rep.,,H,PA,05,,,,,,,,
SB23,C00101485,11880346,,,CCM,Simpson For Congress,,,,,,1487 Parkway Drive,,Blackfoot,ID,83221,G2024,,2024-06-27,2000.00,0.00,,011,C00331397,Simpson For Congress,H8ID02064,Simpson,Mike,,Rep.,,H,ID,02,,,,,,,,
