form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00684506,SB21B.5218,,,ORG,Dentons US LLP,,,,,,"1900 K Street, NW",,Washington,DC,20006,,,2024-05-16,5100.00,,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5227,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-04-02,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5228,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-04-06,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5236,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-04-14,144.99,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5229,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-04-19,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5230,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-05-02,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5231,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-05-06,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5237,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-05-09,101.64,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5238,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-05-09,29.39,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5233,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-06-02,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5234,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-06-06,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00684506,SB21B.5235,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2024-06-19,3.38,,Paypal Fee,,,,,,,,,,,,,,,,,,,,
