form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00849042,SB21B.4182,,,ORG,Citizens Alliance of North Dakota C4,,,,,,PO Box 1715,,Bismarck,ND,58502,,,2024-04-16,1819.54,,Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4182.0,SB21B.4182,SB21B,ORG,Flash Printing,,,,,,904 E Front Ave,,Bismarck,ND,58504,,,2024-04-16,1819.54,,Printing,,,,,,,,,,,,,,,,,,,X,
SB21B,C00849042,SB21B.4190,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-06,897.92,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4192,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-07,400.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4193,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-08,924.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4194,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-09,533.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4195,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-10,587.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4198,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-13,2140.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4203,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-14,862.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4204,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-15,864.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4205,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-17,864.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4206,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-20,1728.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4207,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-28,1764.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4212,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-29,900.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4214,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-30,900.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4216,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-05-31,900.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4219,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-06-03,2700.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4223,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-06-04,701.54,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4226,,,ORG,Facebook,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-06-05,900.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
