form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00785899,SB29.5775,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-06-26,987.50,,Non-Contribution Account: Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5777,,,ORG,Helvetica Good Design LLC,,,,,,PO Box 26094,,Washington,DC,20001,,,2024-06-18,25000.00,,Non-Contribution Account: Event Planning/Managment,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5795,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-03,1662.27,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5795.0,SB29.5795,SB29,ORG,Cameo,,,,,,2045 W Grand Ave,Ste B PMB 71534,Chicago,IL,60612,,,2024-06-03,1166.00,,Non-Contribution Account: Video Production,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5795.1,SB29.5795,SB29,ORG,Cameo,,,,,,2045 W Grand Ave,Ste B PMB 71534,Chicago,IL,60612,,,2024-06-03,408.10,,Non-Contribution Account: Video Production,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5776,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-06,1500.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5770,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-14,22374.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5771,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-20,9000.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5779,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-26,29278.98,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5779.0,SB29.5779,SB29,ORG,Bond Events,,,,,,1777 Church St NW,,Washington,DC,20036,,,2024-06-26,29278.98,,Non-Contribution Account: Event Signage/Printing,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5772,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-06-28,7200.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
