form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00794396,SB29.5532,,,ORG,Battleground Connect,,,,,,350 RYMAN ST,STE 300,MISSOULA,MT,59802,,,2024-07-12,62659.80,,non federal disbursement - Phone/Text messaging,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5542,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-15,40580.00,,non federal disbursement - TV ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5550,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-15,5991.44,,non federal disbursement - Digital ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5552,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-15,18685.00,,non federal disbursement - Digital ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5557,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-17,13750.00,,non federal disbursement - TV ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5544,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-22,9344.00,,non federal disbursement - TV ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5556,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-22,8209.00,,non federal disbursement - Digital ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5543,,,ORG,Darby House LLC,,,,,,4201 WILSON BLVD.,STE. 110-126,ARLINGTON,VA,22203,,,2024-07-29,9381.00,,non federal disbursement - TV ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5551,,,ORG,Drogin Group,,,,,,6705 W. Hwy. 290,Ste. 50281,Austin,TX,78735,,,2024-07-15,6000.00,,non federal disbursement - Digital ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5548,,,ORG,"Fox Television Stations, LLC",,,,,,1211 Avenue of the Americas,Ste. 302,New York,NY,100368799,,,2024-07-15,9000.00,,non federal disbursement - Digital ad placement,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5549,,,ORG,Google Ads,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-07-15,8000.00,,non federal disbursement - Digital ad placement,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5538,,,ORG,"HTTV DIRECT, LLC",,,,,,2300 WILSON BLVD. STE. 700,#1007,ARLINGTON,VA,22201,,,2024-07-12,313182.00,,"non federal disbursement - Mail production, postage",,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5555,,,ORG,"HTTV DIRECT, LLC",,,,,,2300 WILSON BLVD. STE. 700,#1007,ARLINGTON,VA,22201,,,2024-07-22,18404.00,,non federal disbursement - Door hangers,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5530,,,ORG,"Medium Buying, LLC",,,,,,"815 grandview Ave., Ste. 600",,Columbus,OH,43215,,,2024-07-15,2417692.98,,non federal disbursement - TV ad placement,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5553,,,ORG,"Medium Buying, LLC",,,,,,"815 grandview Ave., Ste. 600",,Columbus,OH,43215,,,2024-07-19,194775.00,,non federal disbursement - TV ad production,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5535,,,ORG,PATRIOT GRASSROOTS,,,,,,1256 N RANGE RIDER PLACE,,VAIL,AZ,85641,,,2024-07-12,194480.00,,non federal disbursement - Door to door program,,,,,,,,,,,,,,,,,,,,
SB29,C00794396,SB29.5545,,,ORG,"The Trade Desk, Inc.",,,,,,2710 Media Center Dr.,Bldg. Ste. 120,Los Angeles,CA,90065,,,2024-07-15,182714.76,,non federal disbursement - Digital ad placement,,,,,,,,,,,,,,,,,,,,
