form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00707232,500513361,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-07-31,197.60,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513315,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-07-12,281.47,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513316,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-07-15,932.46,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513317,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-07-29,479.98,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513318,,,ORG,Amtrak,,,,,,50 Massachusetts Ave NE,,Washington,DC,200024214,,,2024-07-08,144.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513319,,,ORG,Amtrak,,,,,,50 Massachusetts Ave NE,,Washington,DC,200024214,,,2024-07-12,510.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513320,,,ORG,Amtrak,,,,,,50 Massachusetts Ave NE,,Washington,DC,200024214,,,2024-07-12,15.50,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513321,,,ORG,Bank Of America,,,,,,701 2Nd Ave,,Seattle,WA,981041701,,,2024-07-01,29.95,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513322,,,ORG,Bank Of America,,,,,,701 2Nd Ave,,Seattle,WA,981041701,,,2024-07-01,16.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513324,,,ORG,Expedia,,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-07-05,628.33,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513325,,,ORG,Four Seasons - New Orleans,,,,,,2 Canal St,,New Orleans,LA,701301201,,,2024-07-08,204.97,0.00,Meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513326,,,ORG,Hotels.Com,,,,,,10440 N Central Expy,Ste 400,Dallas,TX,752312228,,,2024-07-15,269.84,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513327,,,ORG,Lustre Formal Wear,,,,,,208 2Nd St SE,,Washington,DC,200031943,,,2024-07-08,257.33,0.00,Media Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513328,,,ORG,Luxury Collection Marriot NY,,,,,,151 W 54Th St,,New York,NY,100195302,,,2024-07-15,1636.96,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513329,,,ORG,Luxury Collection Marriot NY,,,,,,151 W 54Th St,,New York,NY,100195302,,,2024-07-15,1625.01,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513334,,,ORG,RTB Chauffeured Transportation,,,,,,4010 W Ali Baba Ln,,Las Vegas,NV,891181672,,,2024-07-10,1430.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
