form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00760736,SB29.12683,,,PAC,ACTBLUE,,,,,,PO BOX 441146,,SOMERVILLE,MA,02144,,,2024-06-30,3171.94,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12666,,,ORG,Amalgamated Bank,,,,,,10 E 14th St,,New York,NY,10003,,,2024-04-26,75.75,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12675,,,ORG,Amalgamated Bank,,,,,,10 E 14th St,,New York,NY,10003,,,2024-05-24,95.75,,Bank fee,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12682,,,ORG,Amalgamated Bank,,,,,,10 E 14th St,,New York,NY,10003,,,2024-06-28,75.50,,bank fees,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12663,,,ORG,FH Strategies,,,,,,90 State St,,Albany,NY,12271,,,2024-04-02,1250.00,,Compliance Consulting,,C00760736,RESIST RECLAIM REBUILD PAC,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12672,,,ORG,FH Strategies,,,,,,90 State St,,Albany,NY,12271,,,2024-05-02,1250.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12677,,,ORG,FH Strategies,,,,,,90 State St,,Albany,NY,12271,,,2024-06-04,1250.00,,compliance consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12671,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2024-05-02,99.32,,Accounting Software,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12676,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2024-06-03,99.32,,Accounting software,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12659,,,ORG,New Deal Consulting LLC,,,,,,4241 N. Kenmore,,Chicago,IL,60613,O2024,,2024-04-02,6637.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12673,,,ORG,New Deal Consulting LLC,,,,,,4241 N. Kenmore,,Chicago,IL,60613,,,2024-05-06,3816.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12678,,,ORG,New Deal Consulting LLC,,,,,,4241 N. Kenmore,,Chicago,IL,60613,,,2024-06-04,5838.00,,digital consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00760736,SB29.12679,,,ORG,New Deal Consulting LLC,,,,,,4241 N. Kenmore,,Chicago,IL,60613,,,2024-06-18,3619.00,,digital consulting,,,,,,,,,,,,,,,,,,,,
