form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500676514,,,ORG,American Express Establishment Services,,,,,,12138 Central Ave,# 3886,Mitchellville,MD,207211910,,,2024-08-05,580.70,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677732,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-06,-61.15,0.00,draw 8/6/2024 adv from line 23 (Harris for President),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500679237,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-06,-91.58,0.00,draw 8/6/2024 adv from line 23 (Harris for President),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677720,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-09,-125.00,0.00,draw 8/9/2024 adv from line 29 (Montgomery County Equality Caucus PAC),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677714,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-14,-50.00,0.00,draw 8/14/2024 adv from line 21 (online press release),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677738,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-14,50.00,0.00,Online press release,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677715,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-22,-760.34,0.00,draw 8/22/2024 adv from line 24 (Oppose Trump),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677716,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-22,-760.34,0.00,draw 8/22/2024 adv from line 24 (Support Harris),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677709,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-27,-25.00,0.00,draw 8/27/2024 adv from line 29 (Justin Jones for District 52),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677710,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-27,-25.00,0.00,draw 8/27/2024 adv from line 29 (Justin Jones for District 52),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677711,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-27,-25.00,0.00,draw 8/27/2024 adv from line 29 (Committee to Elect Justin J. Pearson),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500677712,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-08-27,-25.00,0.00,draw 8/27/2024 adv from line 29 (Committee to Elect Justin J. Pearson),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500676739,,,ORG,World Pay,,,,,,8500 Governors Hill Dr,,Symmes Twp,OH,452491384,,,2024-08-09,884.66,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
