form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831545,500396879,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-08-12,39.50,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398980,,,ORG,Fishingbooke Saltwater,,,,,,1210 4TH Ave,,Seward,AK,99664,,,2024-08-29,570.00,0.00,Event tickets,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398971,,,ORG,Garrett Mueller,,,,,,450 Kentucky Ave SE,,Washington,DC,200033009,,,2024-08-08,2877.60,0.00,Reimbursement(vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398972,500398971,SB21B,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-08,2877.60,0.00,PAC event expense-boat rental,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00831545,500398973,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,154.50,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398974,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,117.42,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398975,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,154.50,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398976,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,180.25,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398977,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,154.50,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398978,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,154.50,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500398979,,,ORG,Millers Landing,,,,,,13880 Beach Dr,,Seward,AK,99664,,,2024-08-05,149.35,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
