form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00007922,500122285,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-01-26,571.39,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500122119,,,ORG,LinkedUnion,,,,,,12601 W Explorer Dr,Ste 200,Boise,ID,837131880,,,2024-01-26,20000.00,0.00,Software Development,004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500121417,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-02,-47057.66,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123208,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-03,-7163.37,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123223,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-16,-2660.35,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500122463,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-17,-21581.13,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123201,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-17,-2675.40,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123229,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-18,-4238.44,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123226,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-19,-8492.93,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123198,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-22,-5300.50,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500123220,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-22,-5255.56,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500122082,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-23,-11764.98,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
SB21B,C00007922,500122578,,,ORG,"San FranStitchCo, Inc.",,,,,,624 Portal St,Ste A,Cotati,CA,949313069,,,2024-01-31,-5806.80,0.00,"Draw Down Against Advance for T-Shirts and Shipping, See Schedule E",004,,,,,,,,,,,,,,,,,,,
