form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00412072,EB1176,,,ORG,"GOULD & ORELLANA, LLC",,,,,,12501 Imperial Hwy. Ste. 200,,Norwalk,CA,90650,,,2024-07-03,350.00,,PAC Management/ Political Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1177,,,ORG,Bankcard Center,,,,,,P.O. Box 30833,,Salt Lake City,UT,84130,,,2024-07-11,199.00,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1179,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-07-14,0.60,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1181,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-07-28,4.36,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1183,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-07-31,0.60,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1185,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-08-04,0.60,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1187,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-08-11,0.32,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1188,,,ORG,Bankcard Center,,,,,,P.O. Box 30833,,Salt Lake City,UT,84130,,,2024-08-13,245.47,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1190,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-08-18,4.87,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1192,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-08-25,5.51,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1194,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-08-31,6.26,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1196,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-09-08,7.90,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1198,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-09-15,4.87,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1199,,,ORG,Bankcard Center,,,,,,P.O. Box 30833,,Salt Lake City,UT,84130,,,2024-09-16,427.25,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,XB92EB1199,EB1199,SB21B,ORG,OC Pride Festival and Parade,,,,,,2321 E. 4th St. C619,,Santa Ana,CA,92705,,,2024-09-16,300.00,,Contribution,012,,,,,,,,,,,,Bankcard Center,P.O. Box 30833,,Salt Lake City,UT,84130,X,
SB21B,C00412072,EB1201,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-09-22,2.37,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00412072,EB1203,,,ORG,Actblue,,,,,,P.O. Box 382110,,Cambridge,MA,022382110,,,2024-09-29,0.60,,Credit Card Processing Fee,003,,,,,,,,,,,,,,,,,,,
