form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00257956,B5889F401CC85441F9BB,,,CCM,"BEN CLINE FOR CONGRESS, INC.",,,,,,P.O. Box 1790,,Harrisonburg,VA,228031790,G2024,,2024-08-15,1500.00,,Political Contribution,,C00661561,"BEN CLINE FOR CONGRESS, INC.",H8VA06104,Cline,Benjamin,Lee,,,H,VA,06,,,,,,,,,
SB23,C00257956,B3FFF16D87B1C4DC3A66,,,CCM,BRIAN JACK FOR CONGRESS,,,,,,225 MARKET PLACE CONNECTOR,NUM 1055,PEACHTREE CITY,GA,30269,G2024,,2024-09-05,500.00,,Political Contribution,,C00872473,BRIAN JACK FOR CONGRESS,H4GA03126,Jack,Brian,,,,H,GA,03,,,,,,,,,
SB23,C00257956,B9A105EAB0A4A4A77B2C,,,CCM,CELESTE FOR CONGRESS,,,,,,P. O. BOX 2410,,CEDAR CITY,UT,84721,G2024,,2024-09-24,500.00,,Political Contribution,,C00842765,CELESTE FOR CONGRESS,H4UT02296,Maloy,Celeste,,,,H,UT,02,,,,,,,,,
SB23,C00257956,B449F50705E8B487C92D,,,CCM,DARRELL ISSA FOR CONGRESS,,,,,,PO BOX 463007,,Escondido,CA,920463007,G2024,,2024-07-01,-500.00,,Void previously issued check dated 5/29/2024,,C00721332,DARRELL ISSA FOR CONGRESS,,Issa,Darrell,,,,H,CA,48,,,,,,,,,
SB23,C00257956,B8FB4C9F3DCD54DB893A,,,CCM,DARRELL ISSA FOR CONGRESS,,,,,,PO BOX 463007,,Escondido,CA,920463007,G2024,,2024-07-15,500.00,,Political Contribution,,C00721332,DARRELL ISSA FOR CONGRESS,,Issa,Darrell,,,,H,CA,48,,,,,,,,,
SB23,C00257956,B2FA4497FF19749DC8FE,,,CCM,HAGEMAN FOR WYOMING,,,,,,P.O. BOX 4157,,CHEYENNE,WY,82003,G2024,,2024-08-02,500.00,,Political Contribution,,C00788943,HAGEMAN FOR WYOMING,H2WY00166,Hageman,Harriet,,,,H,WY,00,,,,,,,,,
SB23,C00257956,BAEBAFE0CE0764D3ABC9,,,CCM,HUNG CAO FOR VIRGINIA,,,,,,PO BOX 652,,PURCELLVILLE,VA,20134,G2024,,2024-09-30,500.00,,Political Contribution,,C00802488,HUNG CAO FOR VIRGINIA,S4VA00353,Cao,Hung,,,,S,VA,,,,,,,,,,
SB23,C00257956,BB783BB8BD0A547F1A4B,,,CCM,MICHELLE STEEL FOR CONGRESS,,,,,,9070 IRVINE CENTER DRIVE,SUITE 150,IRVINE,CA,92618,G2024,,2024-07-01,-500.00,,Void previously issued check dated 5/29/2024,,C00704981,MICHELLE STEEL FOR CONGRESS,H0CA48198,Steel,Michelle,,,,H,CA,45,,,,,,,,,
SB23,C00257956,B5FC17017288943AA9A5,,,CCM,MICHELLE STEEL FOR CONGRESS,,,,,,9070 IRVINE CENTER DRIVE,SUITE 150,IRVINE,CA,92618,G2024,,2024-07-15,500.00,,Political Contribution,,C00704981,MICHELLE STEEL FOR CONGRESS,H0CA48198,Steel,Michelle,,,,H,CA,45,,,,,,,,,
SB23,C00257956,B0C1431D9C65D468DA1B,,,CCM,Morgan Griffith for Congress,,,,,,P.O. Box 361,,Christiansburg,VA,240680361,G2024,,2024-08-02,650.00,,Political Contribution,,C00477240,Morgan Griffith for Congress,,Griffith,Morgan,,,,H,VA,09,,,,,,,,,
SB23,C00257956,B5172D64FE9A2414D90C,,,CCM,STUTZMAN FOR CONGRESS,,,,,,PO BOX 339,,HOWE,IN,46746,G2024,,2024-09-30,500.00,,Political Contribution,,C00838110,STUTZMAN FOR CONGRESS,H4IN03174,Stutzman,Marlin,,,,H,IN,03,,,,,,,,,
SB23,C00257956,B1BC03094C74044199A1,,,PAC,TOGETHER HOLDING OUR MAJORITY PAC,,,,,,PO BOX 97275,,RALEIGH,NC,27624,O2024,Contribution 2024,2024-08-02,1000.00,,Political Contribution,,C00571323,TOGETHER HOLDING OUR MAJORITY PAC,,,,,,,,,,,,,,,,,,
