form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00633792,SB21B.4755,,,ORG,Professional Data Services,,,,,,824 S Milledge Ave Ste 101,,Athens,GA,30605,,,2024-09-26,3101.36,,JFC Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4610,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-08-04,615.93,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4628,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-08-08,165.29,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4632,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-08-19,320.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4639,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-08-22,320.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4643,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-03,32.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4653,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-13,80.53,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4687,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-13,265.60,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4663,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-16,805.58,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4679,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-16,1012.71,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4715,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-18,80.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4726,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-19,81.59,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4736,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-20,352.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4745,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-20,189.29,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4743,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-23,58.25,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4749,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-26,32.00,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4765,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-30,97.06,,JFC CC Transaction Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00633792,SB21B.4769,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd.,Ste 530,Arlington,VA,22209,,,2024-09-30,80.00,,JFC CC Transaction Fee,,,,,,,,,,,,,,,,,,,,
