form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00823609,SB21B.6430,,,ORG,ADVANCED PLANNING AND LOGISTICS,,,,,,9480 MAIN STREET,NUMBER 1184,FAIRFAX,VA,22031,,,2024-07-12,1974.38,,COMMUNICATIONS CONSULTING EXPENSES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6431,,,ORG,MEETING STREET SERVICES LLC,,,,,,1985 RIVIERA DR,STE 103 - 1125,MOUNT PLEASANT,SC,29464,,,2024-08-06,660.03,,DIGITAL & COMMUNICATIONS CONSULTING/ONLINE ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6432,,,ORG,MEETING STREET SERVICES LLC,,,,,,1985 RIVIERA DR,STE 103 - 1125,MOUNT PLEASANT,SC,29464,,,2024-09-18,563.97,,DIGITAL & COMMUNICATIONS CONSULTING/ONLINE ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6433,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-07-03,500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6434,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-08-06,571.74,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6435,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-09-06,531.43,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6436,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-01,1.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6437,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-05,2.61,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6438,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-08,0.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6439,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-09,1.17,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6440,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-10,4.30,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6441,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-11,6.06,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6442,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-12,1.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6443,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-15,0.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6444,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-23,1.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6445,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-24,5.91,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6446,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-25,14.13,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6447,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-29,2.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6448,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-30,0.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6449,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-07-31,0.63,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
