form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00693838,SB21B.7130,,,ORG,ALLIANCE FORGE CORPORATION,,,,,,5648 SPANDRELL CIR,,SPARKS,NV,89436,,,2024-07-31,5051.03,,TEXT MESSAGES (NON-IE RELATED),,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7129,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-07-31,1534.58,,"COMPLIANCE CONSULTING, COMPLIANCE CONSULTING EXPENSE: POSTAGE",,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7152,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-08-19,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7163,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-09-24,1534.14,,"COMPLIANCE CONSULTING, COMPLIANCE CONSULTING EXPENSE: POSTAGE",,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7119,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7120,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7121,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7125,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-26,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7126,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7127,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7131,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-31,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7132,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7133,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7134,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-02,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7140,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7142,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7143,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7144,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-14,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7145,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-15,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7147,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-16,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7148,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-16,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7153,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-19,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7154,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-19,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7156,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-20,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7157,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-28,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7158,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-28,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7160,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7161,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7164,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7165,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7166,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7167,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-24,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7168,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-24,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7169,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-26,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7170,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-26,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7171,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-27,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7172,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7173,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-30,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7123,,,ORG,DOWN RANGE DIGITAL LLC,,,,,,1309 COFFEEN AVE,STE 1200,SHERIDAN,WY,82801,,,2024-07-02,15000.00,,STRATEGIC COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7135,,,ORG,DOWN RANGE DIGITAL LLC,,,,,,1309 COFFEEN AVE,STE 1200,SHERIDAN,WY,82801,,,2024-08-02,15000.00,,STRATEGIC COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7159,,,ORG,DOWN RANGE DIGITAL LLC,,,,,,1309 COFFEEN AVE,STE 1200,SHERIDAN,WY,82801,,,2024-08-28,15000.00,,STRATEGIC COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7155,,,ORG,"FABRIZIO, LEE & ASSOCIATES, LLC",,,,,,2624 NE 15TH ST,,FT LAUDERDALE,FL,33304,,,2024-08-19,48750.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
SB21B,C00693838,SB21B.7176,,,ORG,"FABRIZIO, LEE & ASSOCIATES, LLC",,,,,,2624 NE 15TH ST,,FT LAUDERDALE,FL,33304,,,2024-09-23,50000.00,,POLLING EXPENSE,,,,,,,,,,,,,,,,,,,,
