form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00684969,500117619,,,ORG,Campaign Ad-Cloud,,,,,,525 S Meridian St,Ste 3A3,Indianapolis,IN,462251108,G2024,,2024-08-30,155500.00,2024-09-10,414507.63,Digital Ads (Actual for previously reported IE),004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117857,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-18,55.16,,414507.63,Digital Ads (Actual for previously reported IE),004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117858,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-26,101.63,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117859,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-26,500.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117860,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-26,250.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117861,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-26,500.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117862,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-26,106.70,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117863,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-29,140.29,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117864,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-30,45.47,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117865,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-30,500.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117866,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-30,320.77,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117867,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-30,35.13,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117868,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-30,1355.12,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117869,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-31,1422.68,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117870,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-31,1870.56,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117871,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-07-31,606.32,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117872,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-08-01,4276.99,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117873,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-08-01,468.33,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117874,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-08-07,3000.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117875,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-08-14,5000.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117876,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-09-05,7500.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,O,P80001571,TRUMP,DONALD,J.,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117877,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-09-16,3000.00,,84435.06,Digital Ads (Actual for previously reported IE),004,,S,S4MI00470,SLOTKIN,ELISSA,,,,S,00,MI,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117878,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-09-16,3000.00,,31390.30,Digital Ads (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117879,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-09-16,3000.00,,35339.18,digital ads (Actual for previously reported IE),004,,S,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117880,,,ORG,META,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,G2024,,2024-09-23,1000.00,,414507.63,Digital Ads (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117828,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-07,35.94,,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117829,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-07,170.88,,31390.30,Texting (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117830,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-07,1225.96,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117831,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-07,7.50,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117832,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-07,565.73,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117833,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-09,0.08,,31390.30,Texting (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117834,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-09,7.61,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117835,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-09,0.11,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117836,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-09,9.75,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117620,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-18,82.55,2024-08-14,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117621,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-18,244.20,2024-08-14,31390.30,Texting (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117622,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-19,45.89,2024-08-14,2136.18,Auto-Dialer (Actual for previously reported IE),004,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117623,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-19,42.80,2024-08-14,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117624,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-19,57.58,2024-08-14,31390.30,Texting (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117625,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-22,45.89,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P80000722,Biden,Joseph,R,,Jr.,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117626,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-24,128.91,2024-08-14,84435.06,Auto-Dialer (Actual for previously reported IE),004,,S,S4MI00470,SLOTKIN,ELISSA,,,,S,00,MI,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117627,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-24,128.91,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117628,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-24,54.74,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117629,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-25,40.25,2024-08-14,31390.30,Auto-Dialer (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117630,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-25,40.25,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117631,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-25,54.74,2024-08-14,35339.18,Auto-Dialer (Actual for previously reported IE),004,,S,S4AZ00139,GALLEGO,RUBEN,,,,S,,AZ,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117632,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-26,36.27,2024-08-14,4366.60,Auto-Dialer (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117633,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-26,30.84,2024-08-14,2136.18,Auto-Dialer (Actual for previously reported IE),004,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117634,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-26,36.27,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117635,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-26,30.84,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117636,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-26,36.47,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
